time U-r Ur_err r-J rJ_err
-0.0211869499472 1.05177009844 0.0441103927416 1.0 1.0
-0.0174569499504 1.03605721969 0.0441172852823 1.0 1.0
-0.00363694995031 1.04112103083 0.0461493958409 1.0 1.0
8.30500503071e-05 1.03740490165 0.0462095825486 1.0 1.0
0.988223050052 1.00695293585 0.0448985782673 1.0 1.0
0.991963050052 0.98312911498 0.0449009569661 1.0 1.0
1.00537305005 1.00273464818 0.0449431215406 1.0 1.0
1.00911305005 0.993874108747 0.0469526253754 1.0 1.0
1.98684305005 1.1763326068 0.0531446963836 1.0 1.0
1.99057305005 1.02747169448 0.0461454291267 1.0 1.0
2.00407305005 1.09597509493 0.0491548165848 1.0 1.0
2.00779305005 1.13010467809 0.0501625611329 1.0 1.0
2.97169305005 0.985345519399 0.0452869733209 1.0 1.0
2.99639305005 1.00217169305 0.046290041264 1.0 1.0
3.00012305005 0.999296455304 0.0472905045606 1.0 1.0
3.98632305005 0.952255573653 0.0454223821224 1.0 1.0
3.99005305005 0.949368791209 0.0464228192492 1.0 1.0
4.00380305005 0.99378614815 0.0474244306417 1.0 1.0
4.00754305005 0.995899669238 0.0454304065137 1.0 1.0
4.98070305005 0.999132839301 0.0466490568111 1.0 1.0
4.99404305005 1.00747853353 0.0466517898914 1.0 1.0
4.99778305005 1.0135754523 0.0476525561373 1.0 1.0
5.97246305005 1.0280921643 0.0488271189284 1.0 1.0
5.97619305005 0.99017038153 0.0478276690017 1.0 1.0
5.98955305005 1.05445053761 0.0468296392373 1.0 1.0
5.99328305005 1.04752875484 0.0488301893106 1.0 1.0
7.99883305005 1.25424675568 0.0492460651682 1.0 1.0
8.00257305005 1.26628857342 0.0492466127942 1.0 1.0
9.02055305005 1.28990572345 0.0464975785043 1.0 1.0
9.02429305005 1.26892969993 0.0475092424678 1.0 1.0
10.0166530501 1.30749060242 0.047720131581 1.0 1.0
10.0203830501 1.31049270902 0.0477259483906 1.0 1.0
15.9936030501 1.81870465089 0.059384806822 1.0 1.0
15.9973330501 1.77055627375 0.0683853888676 1.0 1.0
16.01344305 1.77591542773 0.0723879027427 1.0 1.0
16.0171730501 1.82176705059 0.0863884847883 1.0 1.0
16.99025305 1.72033316991 0.0955947491413 1.0 1.0
16.99399305 1.87116968132 0.0785953844329 1.0 1.0
17.9941130501 1.78018039781 0.0695538236172 1.0 1.0
17.99784305 1.79500841358 0.0705535231968 1.0 1.0
18.9967730501 1.95385417378 0.0925263177117 1.0 1.0
19.9953830501 1.8644822708 0.275630809598 1.0 1.0
19.99911305 1.85931228154 0.209631103071 1.0 1.0
22.99812305 2.45971486077 0.0736833540532 1.0 1.0
23.0018530501 2.44553823253 0.0886833500392 1.0 1.0
27.0008130501 2.83748067236 0.11359861564 1.0 1.0
29.0040230501 2.68820108932 0.143541319116 1.0 1.0
-0.0249669499462 1.0 1.0 1.40920676195 0.0271034078075
0.960033050047 1.0 1.0 1.39206089293 0.0258806489839
2.00003305005 1.0 1.0 1.35686144266 0.0671472875045
3.98703305005 1.0 1.0 1.33840876589 0.0294224653289
4.96603305005 1.0 1.0 1.33893321104 0.0336460512422
6.06103305005 1.0 1.0 1.40294843247 0.0358732613149
6.97703305005 1.0 1.0 1.35707601123 0.0390594003281
7.97403305005 1.0 1.0 1.38571642877 0.030242433851
8.96503305005 1.0 1.0 1.37213609583 0.0304747897431
9.96503305005 1.0 1.0 1.34922444145 0.0327103244195
15.9750330501 1.0 1.0 1.52724253612 0.0343819090777
19.97403305 1.0 1.0 1.52923062471 0.0426291297945
21.9750330501 1.0 1.0 1.67752768263 0.0376833944908
22.97903305 1.0 1.0 1.77706705285 0.0386833745967
