time U-V UV_err V-J VJ_err V-H VH_err V-K VK_err
4.38481468439 0.654155750167 0.0375174259971 1.0 1.0 1.0 1.0 1.0 1.0
7.35741468439 0.616867642399 0.0284553946437 1.0 1.0 1.0 1.0 1.0 1.0
7.36041468439 0.626596548162 0.0384553946437 1.0 1.0 1.0 1.0 1.0 1.0
11.3833146844 0.572364146151 0.0390638176451 1.0 1.0 1.0 1.0 1.0 1.0
11.3863146844 0.562062425214 0.0290638176451 1.0 1.0 1.0 1.0 1.0 1.0
14.3812146844 0.584909159075 0.0383760060968 1.0 1.0 1.0 1.0 1.0 1.0
14.3841146844 0.604650964354 0.0383760060968 1.0 1.0 1.0 1.0 1.0 1.0
21.3767146844 0.712092471366 0.0372673705284 1.0 1.0 1.0 1.0 1.0 1.0
4.37251468439 1.0 1.0 2.35229579168 0.0335174259971 1.0 1.0 1.0 1.0
11.3415146844 1.0 1.0 2.54180132087 0.0380638176451 1.0 1.0 1.0 1.0
12.3995146844 1.0 1.0 2.54514074672 0.0348889778067 1.0 1.0 1.0 1.0
14.3515146844 1.0 1.0 2.58281601625 0.0313760060968 1.0 1.0 1.0 1.0
18.3385146844 1.0 1.0 2.5303827075 0.0356080381296 1.0 1.0 1.0 1.0
4.37251468439 1.0 1.0 1.0 1.0 2.94458159384 0.0485174259971 1.0 1.0
11.3415146844 1.0 1.0 1.0 1.0 3.10208712303 0.0620638176451 1.0 1.0
12.3995146844 1.0 1.0 1.0 1.0 3.10942654889 0.0418889778067 1.0 1.0
14.3515146844 1.0 1.0 1.0 1.0 3.07210181842 0.0593760060968 1.0 1.0
18.3385146844 1.0 1.0 1.0 1.0 3.08766850966 0.0386080381296 1.0 1.0
4.37251468439 1.0 1.0 1.0 1.0 1.0 1.0 3.24716647431 0.0375174259971
11.3415146844 1.0 1.0 1.0 1.0 1.0 1.0 3.3906720035 0.0470638176451
12.3995146844 1.0 1.0 1.0 1.0 1.0 1.0 3.40101142936 0.0438889778067
14.3515146844 1.0 1.0 1.0 1.0 1.0 1.0 3.42368669889 0.0423760060968
18.3385146844 1.0 1.0 1.0 1.0 1.0 1.0 3.40325339013 0.0566080381296
