time V-J VJ_err V-H VH_err V-K VK_err
-0.17211111496 0.176198380141 0.0271294946134 1.0 1.0 1.0 1.0
1.79888888504 0.219492119379 0.0341669895385 1.0 1.0 1.0 1.0
10.889888885 0.958483456484 0.196569615562 1.0 1.0 1.0 1.0
12.862888885 1.06091271399 0.0641811100519 1.0 1.0 1.0 1.0
31.919888885 1.28258305821 0.10597027962 1.0 1.0 1.0 1.0
32.899888885 1.24909018208 0.0409106698508 1.0 1.0 1.0 1.0
36.711888885 1.27593958872 0.035672890782 1.0 1.0 1.0 1.0
37.752888885 1.26170819364 0.269646680624 1.0 1.0 1.0 1.0
38.843888885 1.25439774867 0.0306311129498 1.0 1.0 1.0 1.0
39.793888885 1.16794592956 0.194618851686 1.0 1.0 1.0 1.0
41.793888885 1.11845522317 0.0615785950625 1.0 1.0 1.0 1.0
42.729888885 1.13238899489 0.0335577148675 1.0 1.0 1.0 1.0
44.730888885 1.18119899916 0.0915342905011 1.0 1.0 1.0 1.0
45.798888885 1.22859599904 0.0855321438953 1.0 1.0 1.0 1.0
46.785888885 1.10193371398 0.0985337493751 1.0 1.0 1.0 1.0
-0.17211111496 1.0 1.0 -0.0733765406122 0.193129494613 1.0 1.0
1.79888888504 1.0 1.0 0.0679171986253 0.0891669895385 1.0 1.0
10.889888885 1.0 1.0 0.72390853573 0.0755696155623 1.0 1.0
12.862888885 1.0 1.0 1.01033779324 0.0361811100519 1.0 1.0
23.773888885 1.0 1.0 1.38436853048 0.0693035724642 1.0 1.0
31.919888885 1.0 1.0 1.43200813745 0.16597027962 1.0 1.0
32.899888885 1.0 1.0 1.54051526133 0.194910669851 1.0 1.0
36.711888885 1.0 1.0 1.48036466797 0.054672890782 1.0 1.0
37.752888885 1.0 1.0 1.35413327289 0.256646680624 1.0 1.0
38.843888885 1.0 1.0 1.39782282791 0.0556311129498 1.0 1.0
39.793888885 1.0 1.0 1.3083710088 0.0646188516857 1.0 1.0
41.793888885 1.0 1.0 1.45488030242 0.194578595062 1.0 1.0
42.729888885 1.0 1.0 1.42581407414 0.0605577148675 1.0 1.0
44.730888885 1.0 1.0 1.50462407841 0.194534290501 1.0 1.0
45.798888885 1.0 1.0 1.34802107829 0.194532143895 1.0 1.0
46.785888885 1.0 1.0 1.17035879323 0.194533749375 1.0 1.0
47.704888885 1.0 1.0 1.53195393055 0.194539092698 1.0 1.0
-0.17211111496 1.0 1.0 1.0 1.0 0.205787843584 0.0631294946134
1.79888888504 1.0 1.0 1.0 1.0 0.303081582821 0.0791669895385
10.889888885 1.0 1.0 1.0 1.0 1.02707291993 0.0825696155623
31.919888885 1.0 1.0 1.0 1.0 1.62417252165 0.0669702796203
32.899888885 1.0 1.0 1.0 1.0 1.59267964552 0.194910669851
36.711888885 1.0 1.0 1.0 1.0 1.52552905216 0.078672890782
37.752888885 1.0 1.0 1.0 1.0 1.84129765708 0.0746466806242
38.843888885 1.0 1.0 1.0 1.0 1.83098721211 0.12663111295
39.793888885 1.0 1.0 1.0 1.0 1.417535393 0.0716188516857
41.793888885 1.0 1.0 1.0 1.0 1.62904468662 0.194578595062
42.729888885 1.0 1.0 1.0 1.0 1.49497845833 0.194557714867
44.730888885 1.0 1.0 1.0 1.0 1.56978846261 0.119534290501
45.798888885 1.0 1.0 1.0 1.0 1.53618546248 0.151532143895
46.785888885 1.0 1.0 1.0 1.0 1.46552317742 0.269533749375
