time V-J VJ_err V-H VH_err V-K VK_err
-6.24433642125 -0.345658023006 0.05794364687 1.0 1.0 1.0 1.0
-5.33033642126 -0.308668533109 0.0461901266372 1.0 1.0 1.0 1.0
-4.32733642125 -0.35969885844 0.0455143710155 1.0 1.0 1.0 1.0
-3.29333642125 -0.345418108963 0.0458661257971 1.0 1.0 1.0 1.0
0.778663578749 -0.21630124932 0.0421254352052 1.0 1.0 1.0 1.0
2.70966357875 -0.0940221855712 0.0386698751816 1.0 1.0 1.0 1.0
5.68066357874 0.0865894960408 0.0391065404225 1.0 1.0 1.0 1.0
10.6046635787 0.326663638895 0.0661534095208 1.0 1.0 1.0 1.0
16.5936635787 0.633939454904 0.046122626654 1.0 1.0 1.0 1.0
18.6586635787 0.738190065857 0.0410875913238 1.0 1.0 1.0 1.0
23.6416635787 0.848786063953 0.0527306997007 1.0 1.0 1.0 1.0
24.6316635787 0.805359354693 0.0596542504498 1.0 1.0 1.0 1.0
25.5696635787 0.78901837863 0.0515872564929 1.0 1.0 1.0 1.0
26.6776635787 0.782771619598 0.0525235507335 1.0 1.0 1.0 1.0
27.5916635787 0.838187963736 0.0464776506242 1.0 1.0 1.0 1.0
28.6626635787 0.846459641046 0.0634413193069 1.0 1.0 1.0 1.0
29.5986635787 0.889572709623 0.0544216796249 1.0 1.0 1.0 1.0
32.6266635787 0.883427956946 0.0494365798769 1.0 1.0 1.0 1.0
33.5776635787 0.860227839369 0.0494427411352 1.0 1.0 1.0 1.0
-6.24433642125 1.0 1.0 -0.490670990876 0.07794364687 1.0 1.0
-5.33033642126 1.0 1.0 -0.451681500978 0.0711901266372 1.0 1.0
-4.32733642125 1.0 1.0 -0.497711826309 0.0585143710155 1.0 1.0
-3.29333642125 1.0 1.0 -0.465431076833 0.0568661257971 1.0 1.0
-0.224336421255 1.0 1.0 -0.213845790667 0.119812758628 1.0 1.0
0.778663578749 1.0 1.0 -0.27131421719 0.0511254352052 1.0 1.0
2.70966357875 1.0 1.0 -0.188035153441 0.0506698751816 1.0 1.0
5.68066357874 1.0 1.0 0.0335765281711 0.0521065404225 1.0 1.0
10.6046635787 1.0 1.0 0.443650671025 0.0581534095208 1.0 1.0
16.5936635787 1.0 1.0 0.601926487035 0.048122626654 1.0 1.0
18.6586635787 1.0 1.0 0.711177097987 0.0500875913238 1.0 1.0
23.6416635787 1.0 1.0 1.01377309608 0.0637306997007 1.0 1.0
24.6316635787 1.0 1.0 0.892346386823 0.0576542504498 1.0 1.0
25.5696635787 1.0 1.0 0.85400541076 0.0565872564929 1.0 1.0
26.6776635787 1.0 1.0 0.915758651728 0.0525235507335 1.0 1.0
27.5916635787 1.0 1.0 0.917174995866 0.0614776506242 1.0 1.0
28.6626635787 1.0 1.0 0.906446673176 0.0574413193069 1.0 1.0
29.5986635787 1.0 1.0 0.936559741753 0.0704216796249 1.0 1.0
32.6266635787 1.0 1.0 0.973414989077 0.0614365798769 1.0 1.0
33.5776635787 1.0 1.0 0.911214871499 0.0714427411352 1.0 1.0
-6.24433642125 1.0 1.0 1.0 1.0 0.853131557672 0.09994364687
-5.33033642126 1.0 1.0 1.0 1.0 1.06612104757 0.0721901266372
-4.32733642125 1.0 1.0 1.0 1.0 1.05009072224 0.0655143710155
-3.29333642125 1.0 1.0 1.0 1.0 1.04137147172 0.0618661257971
-0.224336421255 1.0 1.0 1.0 1.0 1.28295675788 0.126812758628
0.778663578749 1.0 1.0 1.0 1.0 1.18048833136 0.0591254352052
2.70966357875 1.0 1.0 1.0 1.0 1.37476739511 0.0526698751816
5.68066357874 1.0 1.0 1.0 1.0 1.52837907672 0.0581065404225
16.5936635787 1.0 1.0 1.0 1.0 2.26372903558 0.052122626654
18.6586635787 1.0 1.0 1.0 1.0 2.33397964654 0.0530875913238
23.6416635787 1.0 1.0 1.0 1.0 2.51957564463 0.0567306997007
24.6316635787 1.0 1.0 1.0 1.0 2.38214893537 0.0626542504498
25.5696635787 1.0 1.0 1.0 1.0 2.44880795931 0.0555872564929
26.6776635787 1.0 1.0 1.0 1.0 2.38756120028 0.0635235507335
27.5916635787 1.0 1.0 1.0 1.0 2.44697754441 0.0584776506242
28.6626635787 1.0 1.0 1.0 1.0 2.49124922172 0.0704413193069
29.5986635787 1.0 1.0 1.0 1.0 2.5643622903 0.0674216796249
32.6266635787 1.0 1.0 1.0 1.0 2.57121753762 0.0684365798769
33.5776635787 1.0 1.0 1.0 1.0 2.50901742005 0.0724427411352
