time r-J rJ_err r-H rH_err r-K rK_err
-1.72477797212 0.12541972839 0.19739018805 1.0 1.0 1.0 1.0
-0.693777972119 -0.0706685400334 0.110855609401 1.0 1.0 1.0 1.0
0.349222027879 -0.0868634970366 0.0823212282748 1.0 1.0 1.0 1.0
1.28822202788 -0.0387276207621 0.195800348929 1.0 1.0 1.0 1.0
3.30422202788 0.389814422698 0.104587009436 1.0 1.0 1.0 1.0
-1.72477797212 1.0 1.0 0.0192215915754 0.38239018805 1.0 1.0
-0.693777972119 1.0 1.0 0.117133323152 0.229855609401 1.0 1.0
1.28822202788 1.0 1.0 -0.188925757577 0.273800348929 1.0 1.0
-1.72477797212 1.0 1.0 1.0 1.0 -0.866708721946 0.21839018805
-0.693777972119 1.0 1.0 1.0 1.0 -0.82279699037 0.236855609401
0.349222027879 1.0 1.0 1.0 1.0 -0.617991947373 0.272321228275
1.28822202788 1.0 1.0 1.0 1.0 -0.882856071099 0.362800348929
3.30422202788 1.0 1.0 1.0 1.0 -0.591314027639 0.241587009436
