time U-V UV_err U-B UB_err r-J rJ_err r-H rH_err r-K rK_err V-J VJ_err V-H VH_err V-K VK_err U-r Ur_err u-V uV_err
-5.154008855162829 "" "" "" "" "" "" -0.38451160656890004 0.0783983208745414 "" "" "" "" "" "" "" "" "" "" "" ""
-5.154008855162829 "" "" "" "" "" "" "" "" -0.3530182596798055 0.10039832087454141 "" "" "" "" "" "" "" "" "" ""
-5.154008855162829 "" "" "" "" -0.2721871278675105 0.0583983208745414 "" "" "" "" "" "" "" "" "" "" "" "" "" ""
-4.997337418506504 "" "" -0.020563478129596635 0.15799821612706433 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
-4.379063171596499 "" "" "" "" "" "" "" "" "" "" "" "" 0.5501216470160611 0.08357800559293221 "" "" "" "" "" ""
-4.379063171596499 "" "" "" "" "" "" "" "" "" "" "" "" "" "" 1.0587136088035858 0.2715780055929322 "" "" "" ""
-4.379063171596499 "" "" "" "" "" "" "" "" "" "" 0.5839163590000915 0.03557800559293221 "" "" "" "" "" "" "" ""
-4.339283171597344 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 1.6033451332729571 0.1535797563041953
-4.240008855165797 "" "" "" "" -0.23635744267024833 0.04641349027027117 "" "" "" "" "" "" "" "" "" "" "" "" "" ""
-4.240008855165797 "" "" "" "" "" "" -0.3466819213716372 0.07141349027027116 "" "" "" "" "" "" "" "" "" "" "" ""
-4.240008855165797 "" "" "" "" "" "" "" "" -0.14118857448254318 0.07241349027027116 "" "" "" "" "" "" "" "" "" ""
-4.208173745988461 "" "" -0.7751870587282257 0.2501213555226741 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
-4.195772450642835 "" "" "" "" "" "" "" "" 0.4302475506399689 0.07561272559335493 "" "" "" "" "" "" "" "" "" ""
-4.195772450642835 "" "" "" "" "" "" 0.28610033106590915 0.07561272559335493 "" "" "" "" "" "" "" "" "" "" "" ""
-4.195772450642835 "" "" "" "" 0.2583500352766675 0.035612725593354926 "" "" "" "" "" "" "" "" "" "" "" "" "" ""
-4.17959741850791 "" "" "" "" "" "" "" "" 0.2586835831148575 0.1228292027385799 "" "" "" "" "" "" "" "" "" ""
-4.17959741850791 "" "" "" "" 0.5058032336083773 0.05882920273857991 "" "" "" "" "" "" "" "" "" "" "" "" "" ""
-4.17959741850791 "" "" "" "" "" "" 0.4171371158347298 0.1048292027385799 "" "" "" "" "" "" "" "" "" "" "" ""
-3.972477418508788 "" "" -0.08421667192652754 0.09266736631060485 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
-3.361063171592832 "" "" "" "" "" "" "" "" "" "" "" "" "" "" 1.2931699913019297 0.1968731502110323 "" "" "" ""
-3.361063171592832 "" "" "" "" "" "" "" "" "" "" "" "" 0.7445780295144023 0.056873150211032314 "" "" "" "" "" ""
-3.361063171592832 "" "" "" "" "" "" "" "" "" "" 0.6183727414984361 0.1968731502110323 "" "" "" "" "" "" "" ""
-3.343913171593158 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 1.4512958524620965 0.12087373554649775
-3.237008855161548 "" "" "" "" "" "" "" "" -0.1556951458287943 0.06543214785013803 "" "" "" "" "" "" "" "" "" ""
-3.237008855161548 "" "" "" "" -0.2858640140164996 0.04543214785013802 "" "" "" "" "" "" "" "" "" "" "" "" "" ""
-3.237008855161548 "" "" "" "" "" "" -0.39118849271788947 0.05843214785013802 "" "" "" "" "" "" "" "" "" "" "" ""
-3.1785974185040686 "" "" "" "" "" "" 0.6025479230178582 0.0883122060309392 "" "" "" "" "" "" "" "" "" "" "" ""
-3.1785974185040686 "" "" "" "" 0.6462140407915076 0.053312206030939197 "" "" "" "" "" "" "" "" "" "" "" "" "" ""
-2.96200741850771 "" "" 0.001644854979146626 0.09812862232386838 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
-2.958377418508462 "" "" -0.06415776852270233 0.09113089208721453 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
-2.7878190932024154 0.020278021054361856 0.08379078140050772 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
-2.3770631715960917 "" "" "" "" "" "" "" "" "" "" 0.5474412305964507 0.037157180349946514 "" "" "" "" "" "" "" ""
-2.3440031715945224 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 1.9323756545656936 0.17015800565545755
-2.2030088551618974 "" "" "" "" "" "" -0.3558031840274192 0.05645057603932776 "" "" "" "" "" "" "" "" "" "" "" ""
-2.2030088551618974 "" "" "" "" -0.2684787053260282 0.045450576039327756 "" "" "" "" "" "" "" "" "" "" "" "" "" ""
-2.2030088551618974 "" "" "" "" "" "" "" "" -0.16130983713832436 0.061450576039327756 "" "" "" "" "" "" "" "" "" ""
-2.1635974185046507 "" "" "" "" 0.4346295387968678 0.07149700586628288 "" "" "" "" "" "" "" "" "" "" "" "" "" ""
-2.1635974185046507 "" "" "" "" "" "" "" "" 0.41850988830334607 0.10849700586628289 "" "" "" "" "" "" "" "" "" ""
-2.1635974185046507 "" "" "" "" "" "" 0.43796342102321895 0.07349700586628288 "" "" "" "" "" "" "" "" "" "" "" ""
-2.091187418503978 "" "" 0.10599455254295514 0.08067312792098243 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
-2.0847574185027042 "" "" 0.15334417537590533 0.09367714846597447 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
-1.8272790932023781 0.05660606773612001 0.08068619469581989 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
-1.383063171597314 "" "" "" "" "" "" "" "" "" "" "" "" "" "" 0.8929924836906724 0.19741121956193658 "" "" "" ""
-1.383063171597314 "" "" "" "" "" "" "" "" "" "" 0.5541952338871774 0.19741121956193658 "" "" "" "" "" "" "" ""
-1.383063171597314 "" "" "" "" "" "" "" "" "" "" "" "" 0.3794005219031452 0.06741121956193659 "" "" "" "" "" ""
-1.2519831715908367 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 1.6194088269791012 0.1154140261111323
-0.9571374185034074 "" "" 0.06686648975267212 0.12959290991477804 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
-0.3910631715916679 "" "" "" "" "" "" "" "" "" "" 0.46387481577562467 0.1976399642306081 "" "" "" "" "" "" "" ""
-0.3910631715916679 "" "" "" "" "" "" "" "" "" "" "" "" "" "" 1.0326720655791202 0.1976399642306081 "" "" "" ""
-0.3910631715916679 "" "" "" "" "" "" "" "" "" "" "" "" 0.34908010379159127 0.0786399642306081 "" "" "" "" "" ""
-0.3248816552149947 "" "" "" "" "" "" "" "" "" "" "" "" "" "" 0.948921159132669 0.05327940231758262 "" "" "" ""
-0.3248816552149947 "" "" "" "" "" "" "" "" "" "" "" "" 0.8372512749610523 0.030279402317582624 "" "" "" "" "" ""
-0.3248816552149947 "" "" "" "" "" "" "" "" "" "" 0.7937056678484433 0.03427940231758263 "" "" "" "" "" "" "" ""
-0.297641655211919 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 1.6828640711160991 0.04527946072503572
-0.26707317159161903 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 1.7289207213704971 0.1516425424640535
-0.032197418506257236 "" "" 0.08733411918362927 0.10922905988740621 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
-0.02857741850311868 "" "" 0.024382914585042326 0.09923154963042063 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
-0.028475002858613152 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 1.0898060243900378 0.07040340751325941 "" ""
-0.024835002855979837 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 1.093952998677171 0.06840439141831373 "" ""
-0.015737418507342227 "" "" 0.06155598998651507 0.13124038065259194 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
0.03940258149668807 "" "" "" "" 0.42339409992130156 0.06347351464734603 "" "" "" "" "" "" "" "" "" "" "" "" "" ""
0.03940258149668807 "" "" "" "" "" "" "" "" 0.4162744494277802 0.11547351464734604 "" "" "" "" "" "" "" "" "" ""
0.03940258149668807 "" "" "" "" "" "" 0.45872798214765276 0.09347351464734603 "" "" "" "" "" "" "" "" "" "" "" ""
0.585186828408041 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 1.7118696391660189 0.17184210778681483
0.6103783447833848 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 1.767797674212848 0.04588364220267846
0.6481183447831427 "" "" "" "" "" "" "" "" "" "" "" "" 0.8134413200700346 0.032883729284842164 "" "" "" "" "" ""
