time r-J rJ_err r-H rH_err r-K rK_err SN
-8.420361407603195 "" "" 1.0269935589200614 0.13419000243665657 "" "" SN_2007rt
-7.450361407602031 "" "" 1.0958298790678036 0.1734789761132087 1.9358298790678035 0.2704789761128268 SN_2007rt
-6.410361407601158 0.8294739948583292 0.11975143702395899 "" "" 1.61647399485833 0.270751437023673 SN_2007rt
-0.13002927625348093 0.9730077215005455 0.046369310868111115 1.033007721500546 0.07036931086505045 1.249007721500547 0.07536931086479998 SN_2008ip
2.599638592393603 0.08998180827895652 0.36972991973845304 0.7849818082789568 0.21672991973845307 "" "" SN_2007rt
2.8499707237424445 1.019506032347266 0.02991022410529797 1.1275060323472665 0.043910224102818175 1.2445060323472674 0.052910224102756004 SN_2008ip
3.5696385923947673 0.12162716015322772 0.3758111010392281 0.8786271601532292 0.1678111010392281 "" "" SN_2007rt
4.699638592399424 "" "" 0.5365146706210702 0.217984313489833 "" "" SN_2007rt
4.8499707237424445 0.9555735966432355 0.036677196000633 1.2075735966432344 0.07667719599843387 1.4035735966432341 0.1966771959984676 SN_2008ip
5.549638592397969 0.3938699785219235 0.2032058689898361 0.48086997852192326 0.1972058689898361 "" "" SN_2007rt
5.839970723740407 0.9998401866690632 0.04558728351816208 1.235840186669062 0.06758728351607664 1.4238401866690626 0.05558728351613881 SN_2008ip
6.5396385923959315 "" "" 0.7584467870608371 0.24637798575067985 "" "" SN_2007rt
6.8499707237424445 1.0559744909992972 0.19651388334423564 1.1549744909992974 0.06451388334222836 1.4399744909992958 0.10051388334232252 SN_2008ip
7.579638592396805 "" "" 0.45509011015338174 0.19745572086689406 "" "" SN_2007rt
8.589638592398842 0.22862842320030552 0.3844239347034807 0.7956284232003057 0.0814239347034807 "" "" SN_2007rt
8.839970723740407 0.9634552888876176 0.05241341652736095 1.1514552888876164 0.06641341652546913 1.411455288887618 0.06741341652559703 SN_2008ip
9.529638592393894 "" "" 0.41049620492264083 0.1953151567609605 1.1514962049226423 0.2723151567612412 SN_2007rt
10.509638592397096 0.499962958353926 0.19721362886830568 0.5329629583539273 0.13821362886830568 "" "" SN_2007rt
11.539638592395931 "" "" 0.5389643179471726 0.1061518076806806 1.4259643179471713 0.2721518076809115 SN_2007rt
12.539638592395931 0.6021252230028047 0.1971588334530338 0.513125223002806 0.20315883345303382 1.5531252230028052 0.2721588334532772 SN_2007rt
14.499638592395058 0.1874328138602266 0.25230816434061465 "" "" 1.1524328138602247 0.2723081643409273 SN_2007rt
15.519638592399133 0.44019933271414047 0.3283961590439625 0.40019933271413777 0.19739615904396252 1.3141993327141392 0.27239615904429115 SN_2007rt
17.53963859239593 0.16807905591991457 0.3984444517563285 0.8090790559199128 0.19744445175632847 1.2860790559199131 0.27244445175666776 SN_2007rt
18.519638592399133 "" "" 0.4988613570442979 0.19735818714422243 1.5038613570442987 0.27235818714452265 SN_2007rt
19.519638592399133 0.4136026157177817 0.24723679930488487 "" "" 1.2786026157177837 0.023236799305131783 SN_2007rt
20.789970723744773 0.7524747240874881 0.07267287531759853 1.1184747240874895 0.07267287531515604 1.5274747240874884 0.06467287531510098 SN_2008ip
21.789970723744773 0.8545054160213486 0.0465512322307827 1.1135054160213471 0.0715512322284841 1.2115054160213479 0.06755123222847699 SN_2008ip
22.799970723739534 0.6423273219613534 0.06543296390319982 1.0103273219613538 0.07643296390105042 1.2633273219613539 0.08643296390109306 SN_2008ip
23.789970723744773 0.794933500732725 0.03831020082728341 1.012933500732725 0.0853102008253081 "" "" SN_2008ip
25.899970723745355 0.7494335879822493 0.07618384273369677 1.0354335879822472 0.19618384273195416 1.3874335879822475 0.19618384273213002 SN_2008ip
28.94997072374099 0.7674465834508872 0.045340337688997125 1.0554465834508875 0.19634033768714615 "" "" SN_2008ip
29.919970723742153 0.7439708913390177 0.07344059887180915 1.1429708913390169 0.06644059886984095 1.318970891339017 0.07044059886993688 SN_2008ip
33.849970723742445 0.8022423186429357 0.035454221535810446 1.1852423186429348 0.08045422153368592 1.475242318642934 0.089454221533741 SN_2008ip
35.829970723745646 0.7379636773077856 0.05306143064299637 1.1499636773077864 0.07406143064133192 1.528963677307786 0.19606143064153442 SN_2008ip
36.83997072374041 0.8039270667130154 0.05597877252496972 1.098927066713017 0.08597877252340652 1.2859270667130165 0.11697877252364278 SN_2008ip
37.7499707237439 0.8955735822001607 0.1959774087466563 1.0335735822001606 0.11297740874509668 1.5325735822001612 0.07297740874533293 SN_2008ip
38.7699707237407 0.8568083281710699 0.06402342215878039 1.131808328171072 0.06102342215716213 1.3798083281710714 0.10702342215737706 SN_2008ip
39.7699707237407 0.8929850101260968 0.1960304949137363 1.1949850101260946 0.08103049491210207 1.3549850101260947 0.07903049491231523 SN_2008ip
40.78997072374477 0.8074261022763878 0.055953652535512294 1.060426102276388 0.07295365253397218 1.4634261022763884 0.07495365253421554 SN_2008ip
41.75997072374594 0.7189146681797816 0.07677579922487693 1.044914668179782 0.0737757992235642 1.4559146681797817 0.07177579922389637 SN_2008ip
44.81997072374361 0.8744716419959069 0.0625378143208197 1.0944716419959093 0.0755378143199244 1.393471641995907 0.1065378143203756 SN_2008ip
48.73997072374186 0.9244535411131238 0.07031403692895795 1.1524535411131254 0.07631403692708211 1.3414535411131254 0.07531403692721178 SN_2008ip
49.78997072374477 1.0097631295091318 0.04325167968849517 1.220763129509134 0.0682516796866602 1.6077631295091326 0.09125167968680764 SN_2008ip
50.729970723739825 1.0207952545588945 0.04807009424108952 1.359795254558895 0.09407009423944994 1.8607952545588944 0.19607009423966132 SN_2008ip
