time r-J rJ_err r-H rH_err r-K rK_err SN
-4.2215094737912295 0.2213358910221634 0.1033918388924329 -0.040972577476828136 0.23639183886590479 "" "" SN_2010bq
-3.1415094737894833 0.06322276163365265 0.10775784110116897 0.29491429313466094 0.14675784107209 0.4646790983264454 0.15675784107209 SN_2010bq
-2.231509473785991 0.01484099388413801 0.10837682511026583 -0.03746747461485266 0.20837682508291527 "" "" SN_2010bq
-0.2515094737900654 -0.11441939247441818 0.089106542188997 0.17027213902659444 0.11910654215644526 0.42503694421837623 0.16710654215644527 SN_2010bq
5.858490526210517 0.15238897224189335 0.09518640815147844 0.26208050374290176 0.1571864081092722 0.5978453089346866 0.1981864081092722 SN_2010bq
6.798490526212845 0.29473150692357114 0.10549749788956736 -0.04057696157542078 0.2324974978470023 "" "" SN_2010bq
7.818490526209644 0.26323999962878636 0.1047254754266877 0.2729315311297969 0.1537254753838242 0.5976963363215789 0.1557254753838242 SN_2010bq
8.818490526209644 0.13152903526716292 0.13886155716343077 0.364220566768176 0.16586155712035944 "" "" SN_2010bq
9.82849052621168 0.12389971706768227 0.17494793799437225 0.237591248568692 0.2269479379511446 0.26635605376047466 0.3439479379511446 SN_2010bq
10.77849052620877 0.12797292937894772 0.12501155546005518 -0.0033355391200435777 0.239011555416705 "" "" SN_2010bq
11.76849052621401 0.11570739756421039 0.15806761329207242 0.19139892906521982 0.21806761324862095 0.5721637342570028 0.23806761324862097 SN_2010bq
12.728490526213136 -0.0630606206822622 0.20211469711917804 0.03163091081874914 0.3271146970756413 0.16839571601053238 0.3521146970756413 SN_2010bq
14.77849052620877 0.21071276590958282 0.14011512050789768 0.3744042974105933 0.15011512046428988 "" "" SN_2010bq
15.728490526213136 0.2268434000713801 0.14913712872956764 0.2515349315723912 0.23513712868590658 0.8842997367641731 0.24613712868590656 SN_2010bq
17.788490526210808 0.29388554499907377 0.16824980139371037 0.36957707650008326 0.27224980134989474 0.771341881691867 0.29924980134989476 SN_2010bq
18.758490526211972 0.3838250561882352 0.16434584072965563 0.3425165876892438 0.24734584068574586 0.5492813928810273 0.28334584068574586 SN_2010bq
19.758490526211972 0.24854252865031062 0.22048976180055474 0.22723406015132233 0.2964897617565224 0.5709988653431027 0.3654897617565224 SN_2010bq
20.748490526209935 0.5287623498161151 0.14258924974566534 0.16145388131712313 0.3515892497015602 0.9212186865089075 0.32258924970156017 SN_2010bq
21.748490526209935 0.3349921792044616 0.21757733689009756 0.6646837107054688 0.24757733684602615 "" "" SN_2010bq
23.76849052621401 0.5952083580771221 0.17528663715254467 0.6838998895781296 0.2882866371087468 "" "" SN_2010bq
24.738490526215173 0.15431107457007703 0.23610900307049126 0.5200026060710892 0.42610900302683197 0.4947674112628698 0.6151090030268319 SN_2010bq
25.728490526213136 0.1855451663413054 0.26900699889234536 0.3562366978423173 0.3980069988487376 0.5650015030340997 0.6860069988487376 SN_2010bq
26.70849052620906 0.35033305889302374 0.2670872937442097 0.3620245903940332 0.3910872937004829 "" "" SN_2010bq
27.6984905262143 0.04063098369552426 0.35727196762533037 0.9783225151965355 0.2772719675813975 0.6460873203883176 0.040271967581397505 SN_2010bq
28.7184905262111 0.5650053869387426 0.22338944210045036 0.731696918439753 0.33838944205638427 "" "" SN_2010bq
