Name Band MJD Mag Magerr
2007I H 54177.217 17.313 0.081
2007I H 54179.208 17.278 0.12
2007I H 54180.208 17.348 0.121
2007I H 54193.214 17.463 0.131
2007I H 54194.215 17.604 0.128
2007I H 54197.216 17.744 0.091
2007I H 54198.217 17.59 0.099
2007I H 54201.199 17.398 0.167
2007I H 54204.191 17.655 0.124
2007I H 54205.205 17.45 0.102
2007I H 54206.203 17.564 0.134
2007I H 54208.201 17.802 0.16
2007I H 54223.168 17.869 0.364
2007I H 54224.168 17.863 0.176
2007I Ks 54128.413 16.312 0.042
2007I Ks 54138.344 16.139 0.175
2007I Ks 54139.344 16.305 0.055
2007I Ks 54140.378 16.084 0.047
2007I Ks 54141.412 16.356 0.058
2007I Ks 54143.405 16.282 0.04
2007I Ks 54148.392 16.348 0.053
2007I Ks 54153.325 16.499 0.175
2007I Ks 54154.457 16.441 0.175
2007I Ks 54155.387 16.627 0.052
2007I Ks 54157.386 16.949 0.079
2007I Ks 54158.26 16.775 0.059
2007I Ks 54160.318 16.958 0.175
2007I Ks 54161.307 17.189 0.175
2007I Ks 54168.307 16.951 0.107
2007I Ks 54170.311 17.224 0.13
2007I Ks 54171.296 17.011 0.073
2007I Ks 54172.256 16.961 0.175
2007I Ks 54173.257 17.077 0.076
2007I Ks 54175.227 17.188 0.175
2007I Ks 54177.217 16.836 0.089
2007I Ks 54179.208 17.263 0.25
2007I Ks 54180.208 17.353 0.156
2007I Ks 54193.214 17.032 0.138
2007I Ks 54197.216 17.049 0.089
2007I Ks 54201.199 17.409 0.211
2007I Ks 54204.191 17.369 0.118
2007I Ks 54205.205 17.27 0.091
2007I Ks 54216.185 17.506 0.188
2007I Ks 54217.25 17.812 0.204
2007I Ks 54223.168 17.23 0.175
