time U-B UB_err r-J rJ_err r-H rH_err r-K rK_err u-B uB_err sn
-15.275772450644581 "" "" 0.7092529263583262 0.09558864274488485 "" "" "" "" "" "" SN_2008D
-15.275772450644581 "" "" "" "" 0.8327161231650808 0.11558864274488485 "" "" "" "" SN_2008D
-15.275772450644581 "" "" "" "" "" "" 2.5577807953415626 0.18558864274488485 "" "" SN_2008D
-14.215772450639633 "" "" 0.7125522445270863 0.10358114960016679 "" "" "" "" "" "" SN_2008D
-14.215772450639633 "" "" "" "" 0.8535839473776878 0.12358114960016678 "" "" "" "" SN_2008D
-14.215772450639633 "" "" "" "" "" "" 2.5129034402669412 0.1335811496001668 "" "" SN_2008D
-13.205772450644872 "" "" 0.7148760692380745 0.0992225719400765 "" "" "" "" "" "" SN_2008D
-13.205772450644872 "" "" "" "" 0.8698836065814242 0.11922257194007649 "" "" "" "" SN_2008D
-13.205772450644872 "" "" "" "" "" "" 2.6668073172289826 0.17922257194007649 "" "" SN_2008D
-12.205772450644872 "" "" "" "" "" "" 2.68632722920511 0.14744795162343116 "" "" SN_2008D
-12.205772450644872 "" "" 0.7168677223281311 0.06744795162343117 "" "" "" "" "" "" SN_2008D
-12.205772450644872 "" "" "" "" 0.8758199512271067 0.11744795162343116 "" "" "" "" SN_2008D
-12.062295873322 0.28737359670839896 0.18377635060801065 "" "" "" "" "" "" "" "" SN_2005hg
-12.058655873319367 0.2873737460708671 0.13179228505425666 "" "" "" "" "" "" "" "" SN_2005hg
-11.165772450643999 "" "" "" "" "" "" 2.669412569844368 0.12668898789389652 "" "" SN_2008D
-11.165772450643999 "" "" 0.7177999680543741 0.12668898789389652 "" "" "" "" "" "" SN_2008D
-11.165772450643999 "" "" "" "" 0.8792822399867054 0.12668898789389652 "" "" "" "" SN_2008D
-10.205772450644872 "" "" "" "" "" "" 2.6349560855971075 0.09656070563175562 "" "" SN_2008D
-10.205772450644872 "" "" 0.7173672216330864 0.12656070563175562 "" "" "" "" "" "" SN_2008D
-10.205772450644872 "" "" "" "" 0.8801688378364151 0.12656070563175562 "" "" "" "" SN_2008D
-9.411897055855661 "" "" 0.7090297174239809 0.05505374605052057 "" "" "" "" "" "" SN_2009jf
-9.411897055855661 "" "" "" "" 0.8341566901289373 0.061053746050520566 "" "" "" "" SN_2009jf
-9.411897055855661 "" "" "" "" "" "" 1.6880372353868838 0.08705374605052056 "" "" SN_2009jf
-9.22577245064167 "" "" "" "" 0.8787415136191566 0.09676807487024569 "" "" "" "" SN_2008D
-9.22577245064167 "" "" "" "" "" "" 2.656098748801023 0.04676807487024569 "" "" SN_2008D
-9.22577245064167 "" "" 0.7159751700905722 0.1267680748702457 "" "" "" "" "" "" SN_2008D
-8.846205873320287 0.28737377565378047 0.11888821932826424 "" "" "" "" "" "" "" "" SN_2005hg
-8.842575873321039 0.2873737193907617 0.11888738595203399 "" "" "" "" "" "" "" "" SN_2005hg
-8.285772450639342 "" "" 0.7161368208188318 0.06691056841688067 "" "" "" "" "" "" SN_2008D
-8.285772450639342 "" "" "" "" "" "" 2.6722546788741504 0.07691056841688067 "" "" SN_2008D
-8.285772450639342 "" "" "" "" 0.8755741992305561 0.026910568416880665 "" "" "" "" SN_2008D
-7.225772450641671 "" "" "" "" "" "" 2.6136728061041845 0.08680540403669873 "" "" SN_2008D
