time U-B UB_err SN r-J rJ_err r-H rH_err r-K rK_err
-12.011580755242903 "" "" SN_2008D 1.1501297922657863 0.13357728611107902 1.4352694074605445 0.1335772861131627 1.5035743351132265 0.13357728611415212
-11.051580755243776 "" "" SN_2008D 1.0919852277031332 0.13284525967722552 1.3271248428978943 0.1328452596793074 1.4754297705505746 0.10284525968012276
-10.071580755240575 "" "" SN_2008D 1.1662152056158963 0.1317247591931622 1.301354820810656 0.10172475919489238 1.3896597484633375 0.05172475919559226
-9.131580755238247 "" "" SN_2008D 1.1465087851743878 0.07067387491444685 1.341648400369148 0.03067387491594431 1.3499533280218294 0.08067387491664242
-8.734981509740464 -0.04578625000590586 0.15621548984750377 SN_2005hg "" "" "" "" "" ""
-8.071580755240575 "" "" SN_2008D 1.1611261177974062 0.10993435822157231 1.3562657329921664 0.15993435822291702 1.4745706606448472 0.08993435822354051
-7.041580755241739 "" "" SN_2008D 1.170668063138277 0.07960816731131999 1.345807678333036 0.07960816731259542 1.4641126059857186 0.09960816731318695
-6.804168997492525 -0.39786542339834324 0.08929951599996794 SN_2004gq "" "" "" "" "" ""
-6.352877739387623 "" "" SN_2009jf 0.8470857109458823 0.04990914306317292 0.8145010232954042 0.05590914306438617 0.866233461564833 0.08190914306175005
-6.081580755242612 "" "" SN_2008D 1.1771846012355358 0.04964321494687994 1.3823242164302958 0.18964321494816247 1.4206291440829766 0.159643214948754
-5.8436289974924875 -0.3521831152267259 0.08646903192310468 SN_2004gq "" "" "" "" "" ""
-5.518891509738751 -0.015261821624119154 0.11675221196080901 SN_2005hg "" "" "" "" "" ""
-5.517060674748791 "" "" SN_2009iz 0.4648634578557686 0.19278090653675334 0.540763326887401 0.0507809065371406 "" ""
-5.041580755241739 "" "" SN_2008D 1.1440291504736202 0.039643946442288185 1.3191687656683808 0.07964394644357782 1.4374736933210617 0.07964394644415514
-4.52806067475467 "" "" SN_2009iz 0.33686335829089303 0.03204105057126648 0.2957632273225245 0.08004105057147431 0.8093949731664022 0.2680410505710853
-3.8116315097431652 "" "" SN_2005hg 0.80058136389426 0.061820762055815506 0.7383093290379221 0.10882076205298577 0.5058080639319171 0.2658207620558155
-3.606371509740711 0.0950854659743352 0.15825639359398957 SN_2005hg "" "" "" "" "" ""
-3.510060674751003 "" "" SN_2009iz 0.3795549743755497 0.19340870879068744 0.4984548434071778 0.05340870879064838 1.0520865892510582 0.19340870879042277
-3.1975560469800257 -0.09543608967175315 0.25397225459927564 SN_2006T "" "" "" "" "" ""
