time U-B UB_err SN r-J rJ_err r-H rH_err r-K rK_err
-4.373621809507313 -0.3068718355712978 0.11022318284567116 SN_2006aj 0.7774646470964011 0.03890728421225252 0.5644095491238164 0.16790728342616842 1.2444822560777353 0.14190728436442235
-3.560511123141623 "" "" SN_2007D -0.492701334185093 0.2031400435748864 0.8294759519821722 0.4011400435748864 -0.4212835452927608 0.37014004357488645
-2.5266601705079665 -0.39166546410375763 0.09164740514772901 SN_2004aw "" "" "" "" "" ""
-2.4106118095078273 -0.06411998256655704 0.07932767632032285 SN_2006aj 0.8517827038822712 0.04784654513017747 0.7607276059096864 0.09984654432214117 1.426800312863606 0.11584654528873686
-2.3971018095107866 -0.07528520303079955 0.08932762660172205 SN_2006aj "" "" "" "" "" ""
-2.2898232692241436 "" "" SN_2005kl 0.3807551365212986 0.0769563313480996 0.48451434481706696 0.21895633132672115 0.01364534802700873 0.10395622735064183
-1.4136218095081858 "" "" SN_2006aj 0.881201781793798 0.1971025531545571 0.9821466838212134 0.08310255247362625 "" ""
-0.41062180951121263 "" "" SN_2006aj 0.6556942851349095 0.045431640697320176 1.0236391871623243 0.09143164017825806 1.5047118941162452 0.16743164077338377
0.5863781904918142 "" "" SN_2006aj 0.8322527913084836 0.03677742826408335 1.0551976933358989 0.06977742791368098 1.4462704002898163 0.10277742829195262
0.5952632691696635 "" "" SN_2005mf 0.9329394879595287 0.10680220616486794 1.2059538540940589 0.09180220587612824 1.29869387225587 0.11880220618186768
0.719176730774052 "" "" SN_2005kl 0.316831818471807 0.2685106856816839 0.31559102676757494 0.23651068566010738 0.7357220299775167 0.08651059213694484
0.7582432691706344 0.6795805857473323 0.1864040777559933 SN_2005mf "" "" "" "" "" ""
1.5842632691710605 "" "" SN_2005mf 0.9263895879118447 0.06403775428048371 1.0964039540463733 0.08903775432607924 1.4641439722081866 0.1240377543358261
1.697176730776846 "" "" SN_2005kl 0.4115915113129371 0.05379954582323507 "" "" 0.7354817228186461 0.07079945422101591
2.6911767307756236 "" "" SN_2005kl 0.3718246981397974 0.06902150207259901 "" "" "" ""
2.794883269169077 0.7881720649861326 0.22954709524068023 SN_2005mf "" "" "" "" "" ""
3.58512819049065 0.45597208607674733 0.14691501739465085 SN_2006aj "" "" "" "" "" ""
3.5925298294896493 0.2284714518830226 0.14973702962385105 SN_2004aw "" "" "" "" "" ""
3.619263269167277 "" "" SN_2005mf "" "" 1.1835044622520245 0.08262794929614564 "" ""
