time U-B UB_err
1.31498645992 -0.468507623847 0.0632072367582
2.33115645992 -0.441199287223 0.0634913426601
3.14145645992 -0.304828184541 0.062776789954
4.47084645992 -0.0626114986489 0.142794049996
5.26102645992 -0.243591285492 0.0642019056321
6.29304645992 -0.0132393863058 0.0726730624717
7.25357645992 -0.089212875292 0.0807510906924
8.26756645992 0.163033661808 0.0739402104254
13.1442464599 0.317660479929 0.098318603558
14.2526664599 0.376741982145 0.0972195671835
15.1817564599 0.359646870524 0.124105941389
18.2005364599 0.076156342349 0.169887504002
19.1680964599 0.329127519835 0.210884653972
21.1694864599 0.880115672881 0.219192953817
