time U-B UB_err
9.6068301832 -0.296656056045 0.0697917675353
10.5434301832 -0.249468383954 0.0722795591141
13.5667701832 -0.224723808966 0.073857928468
15.5977701832 -0.234746948032 0.0721400032884
16.6238601832 -0.0643195039813 0.0866827895462
17.5811801832 -0.0787807446558 0.0972383178946
18.5844001832 -0.184789186229 0.0927162160705
19.5570501832 -0.045954374608 0.116774528242
23.5516501832 0.219030109108 0.264374971416
28.5534101832 0.460743316341 0.197848511188
32.5256601832 0.612573428421 0.165505473534
36.4374701832 1.14076149035 0.233254219714
39.6407801832 0.988451215882 0.320786136895
