time U-B UB_err
4.3336365345 -0.502197200159 0.0681147446451
5.2702365345 -0.459973460441 0.0695133105009
8.2935765345 -0.434703173463 0.0712939947101
10.3245765345 -0.452015823035 0.0702796405082
11.3506665345 -0.288211511003 0.0850309258876
12.3079865345 -0.310130910677 0.0957588098683
13.3112065345 -0.425276737186 0.0914476457581
14.2838565345 -0.296325561819 0.115569886059
18.2784565345 -0.0532358583016 0.260493734489
23.2802165345 0.221139463563 0.194616671505
27.2524665345 0.395747903641 0.16089409295
