time U-B UB_err
0.835849856703 -0.580107146619 0.0625321891543
1.85201985671 -0.546584121403 0.0638796194517
2.6623198567 -0.408162780926 0.0638717399499
3.9917098567 -0.164426252379 0.144248463345
4.78188985671 -0.34560489839 0.0657671957831
5.8139098567 -0.115557776997 0.074158154196
6.77443985671 -0.191384841299 0.082125567163
7.78842985671 0.0616334986508 0.0752214399382
12.6651098567 0.219706229913 0.0999965488846
13.7735298567 0.27838545851 0.0989307117412
14.7026198567 0.260859525877 0.125807702481
17.7213998567 -0.023659825875 0.171465255321
18.6889598567 0.229241614656 0.212387063965
20.6903498567 0.781426330679 0.220513150909
30.6466998567 0.784432898284 0.236593565147
