time B-J BJ_err B-H BH_err B-K BK_err
5.73738872426 1.22735559105 0.0746071843757 1.0 1.0 1.0 1.0
6.78738872427 1.34525302053 0.0524786727335 1.0 1.0 1.0 1.0
8.81738872427 1.40218812024 0.0649912912272 1.0 1.0 1.0 1.0
13.7073887243 1.75963025719 0.0454272552497 1.0 1.0 1.0 1.0
14.6573887243 1.81464561774 0.0514686539162 1.0 1.0 1.0 1.0
17.6373887243 2.02010558473 0.0275569526033 1.0 1.0 1.0 1.0
19.6873887243 2.14071466343 0.0269941257166 1.0 1.0 1.0 1.0
21.6273887243 2.05229865657 0.0660455959741 1.0 1.0 1.0 1.0
23.6373887243 2.30796876693 0.0648938148517 1.0 1.0 1.0 1.0
35.5773887243 2.8465796337 0.0428548862638 1.0 1.0 1.0 1.0
36.5773887243 2.86995471403 0.0396654348478 1.0 1.0 1.0 1.0
38.5873887243 2.95701644212 0.0425226038242 1.0 1.0 1.0 1.0
40.6873887243 3.03841874595 0.0512423712488 1.0 1.0 1.0 1.0
43.7073887243 3.19251416967 0.0274496061737 1.0 1.0 1.0 1.0
44.7073887243 3.22578312896 0.0495608943987 1.0 1.0 1.0 1.0
5.73738872426 1.0 1.0 1.4743585715 0.109607184376 1.0 1.0
6.78738872427 1.0 1.0 1.54425600098 0.0774786727335 1.0 1.0
8.81738872427 1.0 1.0 1.55019110069 0.0959912912272 1.0 1.0
13.7073887243 1.0 1.0 2.07163323764 0.0524272552497 1.0 1.0
14.6573887243 1.0 1.0 2.11364859819 0.0464686539162 1.0 1.0
17.6373887243 1.0 1.0 2.33310856518 0.0435569526033 1.0 1.0
19.6873887243 1.0 1.0 2.42371764388 0.0419941257166 1.0 1.0
21.6273887243 1.0 1.0 2.31130163702 0.0490455959741 1.0 1.0
23.6373887243 1.0 1.0 2.47697174738 0.0738938148517 1.0 1.0
35.5773887243 1.0 1.0 3.12058261415 0.0538548862638 1.0 1.0
36.5773887243 1.0 1.0 3.18395769448 0.0526654348478 1.0 1.0
38.5873887243 1.0 1.0 3.34501942257 0.0295226038242 1.0 1.0
40.6873887243 1.0 1.0 3.3414217264 0.0412423712488 1.0 1.0
43.7073887243 1.0 1.0 3.52351715012 0.0304496061737 1.0 1.0
44.7073887243 1.0 1.0 3.4867861094 0.0455608943987 1.0 1.0
6.78738872427 1.0 1.0 1.0 1.0 0.739823628648 0.0824786727335
8.81738872427 1.0 1.0 1.0 1.0 0.947758728359 0.239991291227
13.7073887243 1.0 1.0 1.0 1.0 1.20620086531 0.0624272552497
14.6573887243 1.0 1.0 1.0 1.0 1.03921622586 0.0854686539162
17.6373887243 1.0 1.0 1.0 1.0 1.38967619285 0.0465569526033
19.6873887243 1.0 1.0 1.0 1.0 1.44528527155 0.0489941257166
21.6273887243 1.0 1.0 1.0 1.0 1.49686926469 0.0860455959741
23.6373887243 1.0 1.0 1.0 1.0 1.58953937505 0.0648938148517
35.5773887243 1.0 1.0 1.0 1.0 2.12815024182 0.133854886264
36.5773887243 1.0 1.0 1.0 1.0 2.19652532215 0.0576654348478
38.5873887243 1.0 1.0 1.0 1.0 2.39958705024 0.119522603824
40.6873887243 1.0 1.0 1.0 1.0 2.40598935407 0.0692423712488
44.7073887243 1.0 1.0 1.0 1.0 2.69635373707 0.139560894399
