time U-B UB_err SN r-J rJ_err r-H rH_err r-K rK_err
-12.01158075525018 "" "" SN_2008D 1.1501297922663576 0.13357728611409705 1.4352694074609056 0.13357728611107902 1.5035743351134598 0.13357728611206846
-11.051580755251052 "" "" SN_2008D 1.0919852277037045 0.13284525967971952 1.3271248428982554 0.13284525967722552 1.475429770550808 0.10284525967804087
-10.071580755247851 "" "" SN_2008D 1.1662152056161195 0.13172475919513396 1.3013548208106689 0.1017247591931622 1.3896597484632227 0.05172475919386209
-9.426845567737473 "" "" SN_2009jf 0.9912725206244453 0.054921002954296215 0.9514403961152138 0.0609210029532828 0.9987825170993736 0.08692100295427933
-9.131580755245523 "" "" SN_2008D 1.14650878517438 0.07067387491629959 1.34164840036893 0.03067387491444684 1.3499533280214837 0.08067387491514495
-8.734981474910455 -0.04578623935621973 0.15621548984750377 SN_2005hg "" "" "" "" "" ""
-8.071580755247851 "" "" SN_2008D 1.1611261177972492 0.10993435822312307 1.356265732991799 0.15993435822157231 1.4745706606443523 0.08993435822219581
-7.041580755249015 "" "" SN_2008D 1.1706680631380562 0.07960816731274285 1.3458076783326047 0.07960816731131999 1.4641126059851597 0.09960816731191152
-6.804168970629689 -0.3978654280358578 0.0892995160123829 SN_2004gq "" "" "" "" "" ""
-6.081580755249888 "" "" SN_2008D 1.1771846012353184 0.04964321494830458 1.3823242164298681 0.18964321494687994 1.4206291440824212 0.15964321494747147
-5.843628970629652 -0.3521831200218317 0.08646903193541661 SN_2004gq "" "" "" "" "" ""
-5.518891474908742 -0.015261812510784512 0.11675221196080901 SN_2005hg "" "" "" "" "" ""
-5.517060674574168 "" "" SN_2009iz 0.46486345785246624 0.19278090653675334 0.5407633268842384 0.05078090653682085 "" ""
-5.041580755249015 "" "" SN_2008D 1.1440291504734135 0.03964394644367374 1.3191687656679638 0.07964394644228819 1.437473693320517 0.0796439464428655
-4.528060674580047 "" "" SN_2009iz 0.3368633582904364 0.03204105057126648 0.29576322732220783 0.08004105057121674 0.8093949731661703 0.2680410505714743
-3.811631474913156 "" "" SN_2005hg 0.8005813626602192 0.06182076205298577 0.7383093283744242 0.1088207620558155 0.5058080636140398 0.2658207620558155
-3.606371474910702 0.09508547343813778 0.15825639359398957 SN_2005hg "" "" "" "" "" ""
-3.51006067457638 "" "" SN_2009iz 0.37955497437902236 0.19340870879068744 0.4984548434107903 0.05340870879047252 1.0520865892547557 0.19340870879064836
-3.398845567739045 "" "" SN_2009jf 0.7053778501560635 0.03556323967628848 0.7375457256468293 0.031563239675445595 0.8498878466309903 0.05456323967627249
-3.1975560469800257 -0.09543608967175315 0.25397225459927564 SN_2006T "" "" "" "" "" ""
-2.7886314749121084 "" "" SN_2005hg 0.7312664215172349 0.05717969281220988 0.6909943872314419 0.10317969281451203 0.546493122471055 0.12117969281451203
-2.581511474912986 0.030775222289383675 0.0936318412442792 SN_2005hg "" "" "" "" "" ""
-2.5260606745796395 "" "" SN_2009iz 0.3173766860822161 0.0338224992251147 "" "" "" ""
-2.4258455677409074 "" "" SN_2009jf 0.6438551082966966 0.033813945365487416 0.6780229837874631 0.03381394536470937 0.8263651047716236 0.05881394536547142
-1.7876314749082667 "" "" SN_2005hg 0.8607635609766697 0.05258266805212772 0.8654915266908749 0.08758266805389164 "" ""
-1.6659296866127988 "" "" SN_2006fo 0.5291997579855815 0.19476077600156844 0.5009896263754833 0.37976077632446925 -0.3973303776031085 0.21576077632446927
-1.5710414749119082 0.06938910178547009 0.09636545936809182 SN_2005hg "" "" "" "" "" ""
-1.5320606745808618 "" "" SN_2009iz 0.3361632595478417 0.19423711610670863 0.15406312857961135 0.06423711610613843 0.6726948744235763 0.19423711610613664
-0.7726314749088488 "" "" SN_2005hg 0.6454931554004248 0.0717281467075534 0.6972211211146306 0.07372814670887679 0.691719856354243 0.10872814670887679
-0.7002214749081759 0.2104966829230347 0.08946611219819744 SN_2005hg "" "" "" "" "" ""
-0.6349296866101213 "" "" SN_2006fo 0.30907886656571765 0.11015860297090077 0.57486873495562 0.22915860323223838 -0.3774512690229739 0.2361586032322384
-0.5400606745752157 "" "" SN_2009iz 0.2602392743946956 0.1945506108109029 0.13813914342646394 0.07555061081019948 0.8267708892704306 0.1945506108101302
-0.18016553719644435 "" "" SN_2007C 0.00972326461934575 0.026711861349886783 -0.1866149426940477 0.19271186134976154 0.03238107554012326 0.06271186135245806
0.40807031338772504 "" "" SN_2006fo 0.2677744105716376 0.08326216029270012 "" "" -0.19775572501705385 0.27326216050003116
0.43382852509239456 0.12268787325707653 0.13188369559857907 SN_2005hg "" "" "" "" "" ""
1.3470703133862116 "" "" SN_2006fo 0.293157235421526 0.19905597613016573 0.2209471038114273 0.2770559762657391 -0.4853729001671643 0.3660559762657391
1.3587685250895447 0.09242683388454342 0.10663373736614717 SN_2005hg "" "" "" "" "" ""
1.3752285250884597 0.09768290579276784 0.13363194492591804 SN_2005hg "" "" "" "" "" ""
1.43036852509249 "" "" SN_2005hg 0.6577298613772358 0.06409503711437632 0.7414578270914416 0.09409503711517035 0.7129565623310543 0.11609503711517036
1.7908344628012856 "" "" SN_2007C 0.033427863315628026 0.03321288599347781 -0.06491034399776288 0.08821288599324334 0.11008567423640758 0.07821288599582793
2.219408525088511 0.14889239012809175 0.1112452662789684 SN_2005hg "" "" "" "" "" ""
2.2343685250889394 "" "" SN_2005hg 0.6970733004620244 0.053602474054445154 0.9258012661762298 0.06860247405504023 "" ""
2.3073685250928975 "" "" SN_2005hg "" "" "" "" 0.9326242215348688 0.10360094965653237
