time U-B UB_err SN r-J rJ_err r-H rH_err r-K rK_err
-4.37362180956552 -0.3068718355873048 0.11022318459668116 SN_2006aj 0.7774646471217432 0.038907284356156965 0.5644095491499617 0.16790728436442234 1.2444822561043674 0.14190728435615696
-3.560511123141623 "" "" SN_2007D -0.492701334185093 0.20314010959768963 0.8294759519821722 0.4011401087015922 -0.4212835452927608 0.37014009186009517
-2.5266601704788627 -0.39166546410964626 0.09164740514846442 SN_2004aw "" "" "" "" "" ""
-2.410611809566035 -0.06411998258196716 0.07932767764588296 SN_2006aj 0.8517827039078443 0.04784654528008067 0.7607276059360626 0.09984654528873686 1.426800312890469 0.11584654528008068
-2.397101809568994 -0.07528520304620967 0.08932762792730348 SN_2006aj "" "" "" "" "" ""
-2.2898232692241436 "" "" SN_2005kl 0.3807551365212986 0.07695633132672114 0.48451434481706696 0.21895730461700863 0.01364534802700873 0.10395622739488378
-1.4136218095663935 "" "" SN_2006aj 0.8812017818180069 0.19710255327040754 0.9821466838462254 0.0831025532768433 "" ""
-0.4106218095694203 "" "" SN_2006aj 0.6556942851573775 0.045431640769775995 1.0236391871855954 0.09143164077338378 1.504711894140003 0.16743164076977599
0.5863781904336065 "" "" SN_2006aj 0.8322527913291362 0.03677742829129181 1.0551976933573546 0.06977742829195262 1.4462704003117588 0.10277742829129181
0.5952627794831642 "" "" SN_2005mf 0.9329395404748535 0.10680220585572855 1.2059539138258963 0.09180220595192183 1.2986939363592913 0.1188022056399616
0.719176730774052 "" "" SN_2005kl 0.316831818471807 0.2685106856601074 0.31559102676757494 0.23651156434817724 0.7357220299775167 0.08651059216074358
0.7582427794841351 0.6795806197893408 0.1864040777559933 SN_2005mf "" "" "" "" "" ""
1.5842627794845612 "" "" SN_2005mf 0.9263896369544664 0.0640377543061947 1.0964040103055077 0.08903775469212599 1.4641440328389048 0.12403775438726229
1.697176730776846 "" "" SN_2005kl 0.4115915113129371 0.053799545801622134 "" "" 0.7354817228186461 0.07079945424101414
2.6911767307756236 "" "" SN_2005kl 0.3718246981397974 0.06902150205095943 "" "" "" ""
2.7948827794825775 0.7881721195230251 0.22954709524068023 SN_2005mf "" "" "" "" "" ""
3.5851281904324424 0.4559720860765215 0.14691500788156187 SN_2006aj "" "" "" "" "" ""
3.592529829518753 0.22847145187321177 0.14973702962355084 SN_2004aw "" "" "" "" "" ""
3.6192627794807777 "" "" SN_2005mf "" "" 1.1835045144733898 0.08262795000107509 "" ""
3.6961767307730042 "" "" SN_2005kl 0.4931933222871396 0.05320670334274455 0.22195253058290615 0.19420753966968646 "" ""
3.7668727794807637 0.6980515372217222 0.3059791808689505 SN_2005mf "" "" "" "" "" ""
4.407488876859134 "" "" SN_2007D -1.2267820813043897 0.3571677029568878 "" "" "" ""
