time U-B UB_err r-J rJ_err r-H rH_err r-K rK_err SN
-4.373621809507313 "" "" 0.8094244923139771 0.03890728343443382 "" "" "" "" SN_2006aj
-4.373621809507313 "" "" "" "" 0.6115409095515243 0.167907287476278 "" "" SN_2006aj
-4.373621809507313 "" "" "" "" "" "" 1.2730200779567085 0.141907287476278 SN_2006aj
-4.366291809514223 -0.3018462428016375 0.11022318463932972 "" "" "" "" "" "" SN_2006aj
-3.560517031728523 "" "" "" "" 0.6034877375111064 0.40114009186009514 "" "" SN_2007D
-2.690337057611032 -0.3413746899948078 0.09180016749401815 "" "" "" "" "" "" SN_2004aw
-2.4106118095078273 -0.05909438979689674 0.07932767769907596 "" "" "" "" "" "" SN_2006aj
-2.4006218095091754 "" "" "" "" 0.8078589663373943 0.09984654848630885 "" "" SN_2006aj
-2.4006218095091754 "" "" "" "" "" "" 1.4553381347425791 0.11584654848630885 SN_2006aj
-2.4006218095091754 "" "" 0.8837425490998472 0.04784654433079735 "" "" "" "" SN_2006aj
-2.3971018095107866 -0.07025961026113925 0.08932762798049648 "" "" "" "" "" "" SN_2006aj
-1.4136218095081858 "" "" "" "" 1.0292780442489213 0.0831025559805259 "" "" SN_2006aj
-1.4136218095081858 "" "" 0.913161627011374 0.19710255248006198 "" "" "" "" SN_2006aj
-0.41062180951121263 "" "" 0.6876541303524855 0.04543164018186583 "" "" "" "" SN_2006aj
-0.41062180951121263 "" "" "" "" 1.0707705475900322 0.09143164284801758 "" "" SN_2006aj
-0.41062180951121263 "" "" "" "" "" "" 1.5332497159952183 0.16743164284801756 SN_2006aj
0.49858225168281933 "" "" 1.0257372684887256 0.10601562216873675 "" "" "" "" SN_2005mf
0.49858225168281933 "" "" "" "" 1.3315073689539936 0.09101562660819533 "" "" SN_2005mf
0.49858225168281933 "" "" "" "" "" "" 1.3931974108603087 0.11801562216873676 SN_2005mf
0.5863781904918142 "" "" "" "" 1.1023290537636068 0.06977742971104857 "" "" SN_2006aj
0.5863781904918142 "" "" "" "" "" "" 1.4748082221687895 0.10277742971104857 SN_2006aj
0.5863781904918142 "" "" 0.8642126365260596 0.036777427914341784 "" "" "" "" SN_2006aj
0.6615622516837902 0.7137740996534391 0.185870823791742 "" "" "" "" "" "" SN_2005mf
1.4875822516842163 "" "" 1.0184873945463158 0.06420240811977736 "" "" "" "" SN_2005mf
1.4875822516842163 "" "" "" "" "" "" 1.5579475369178994 0.12420240811977735 SN_2005mf
1.4875822516842163 "" "" "" "" 1.2212574950115822 0.0892024125517788 "" "" SN_2005mf
2.6982022516822326 0.8264328931759523 0.23469452998699297 "" "" "" "" "" "" SN_2005mf
3.428852942386584 0.3006744572802982 0.1536638892361487 "" "" "" "" "" "" SN_2004aw
3.522582251680433 "" "" "" "" 1.3075248442688021 0.08396007408754386 "" "" SN_2005mf
3.58512819049065 0.46099767884640763 0.1469150082023346 "" "" "" "" "" "" SN_2006aj
3.670192251680419 0.7377357972243893 0.31319644883595266 "" "" "" "" "" "" SN_2005mf
4.429082942384412 0.21181477953102526 0.14082655896918175 "" "" "" "" "" "" SN_2004aw
4.586158190490096 0.40038613488523844 0.08908041602988498 "" "" "" "" "" "" SN_2006aj
5.483582251683401 "" "" "" "" "" "" 1.425412669491005 0.3704357749291383 SN_2005mf
5.483582251683401 "" "" "" "" 1.403722627584689 0.11343577817891562 "" "" SN_2005mf
5.483582251683401 "" "" 1.1609525271194234 0.0684357749291383 "" "" "" "" SN_2005mf
5.611378190485993 "" "" "" "" 1.2623225394685764 0.061173693854278254 "" "" SN_2006aj
5.611378190485993 "" "" "" "" "" "" 1.1418017078737641 0.10417369385427826 SN_2006aj
5.611378190485993 "" "" 0.9502061222310312 0.0421736955690417 "" "" "" "" SN_2006aj
5.628438190491579 0.29095420901175495 0.09318334694652303 "" "" "" "" "" "" SN_2006aj
5.740812251679017 0.9685222591342794 0.3959283658103208 "" "" "" "" "" "" SN_2005mf
6.477582251682179 "" "" 1.2387470357959705 0.08025692617910157 "" "" "" "" SN_2005mf
6.477582251682179 "" "" "" "" 1.2785171362612366 0.2042569291337923 "" "" SN_2005mf
6.477582251682179 "" "" "" "" "" "" 1.9222071781675525 0.17725692617910158 SN_2005mf
7.420964601296873 0.6421175128214209 0.034925615007021724 "" "" "" "" "" "" SN_2007gr
7.424354601294908 "" "" 1.0644719423821125 0.044968029464102804 "" "" "" "" SN_2007gr
7.424354601294908 "" "" "" "" 1.282238756510416 0.043968029464019315 "" "" SN_2007gr
7.470582251684391 "" "" "" "" 1.494725742875297 0.08363729484039434 "" "" SN_2005mf
7.470582251684391 "" "" 1.3569556424100317 0.0886372921063911 "" "" "" "" SN_2005mf
7.470582251684391 "" "" "" "" "" "" 1.695415784781615 0.1396372921063911 SN_2005mf
8.421354601297935 "" "" "" "" 1.3739084108523119 0.18995661501746602 "" "" SN_2007gr
8.421354601297935 "" "" "" "" "" "" 1.3915057039965157 0.025956615018041574 SN_2007gr
8.421354601297935 "" "" 1.1361415967240087 0.028956615017578832 "" "" "" "" SN_2007gr
