time U-B UB_err
-9.56844908067 -1.03453347788 0.0537426156431
-9.56480908067 -1.03495194897 0.0537426274701
-9.52601908067 -1.01175483174 0.0617427535054
-9.52237908067 -1.06717330282 0.0607427653324
-7.49046908067 -1.01582620714 0.0613075655151
-6.48788908067 -0.987025505787 0.0486485762539
-6.48424908068 -0.975712941653 0.0506485837413
-6.47122908067 -0.993594923788 0.0506486105229
-6.46757908067 -0.993281500962 0.0506486180309
-5.47801908067 -0.929704029614 0.0490582774733
-5.47438908067 -0.926467889499 0.0490582840517
-3.48145908067 -0.805916102031 0.0481463068092
-3.47780908067 -0.816796220771 0.0481463171809
-2.48877908068 -0.73033556332 0.0438230193741
-2.48514908068 -0.73325806995 0.044823036334
15.2875609193 -0.304450895205 0.0557778589111
