time mag magerr
-6.698374284909126 0.2708645183738313 0.1156927238813482
-5.518629121041158 0.26872768985403417 0.1915241092466379
-3.2078646126392414 0.41901807867431573 0.12192833539663787
3.372135387362505 0.15418158899745962 0.17551615259258865
4.744449376152867 0.2588383628507011 0.12035323551894497
6.725606370553578 0.06691784430164399 0.20845911962006317
8.66060637055125 0.15509649101700299 0.21955627464161645
10.66060637055125 0.33048298870697834 0.10838636113743697
12.625606370551395 0.17196841159977966 0.12125533651598465
14.140606370550813 0.18040607483131643 0.20519632033221574
17.120606370554015 0.10607394579764198 0.1987335969240995
19.140606370550813 0.5154851750709236 0.19844188241116636
20.120606370554015 0.205546859584962 0.19838383255206898
