time mag magerr
-6.097864612638659 0.5619864055358601 0.16742777204189618
-5.84939362944715 1.1918991196044335 0.26950225307737696
-4.8093936294462765 0.9141873072547704 0.2698544206774578
-3.2078646126392414 0.6947156748961464 0.16992833539663788
2.9021353873613407 0.624073019639235 0.19008961804487245
4.862135387360468 0.4857868768028711 0.14680705612699274
11.130606370548776 0.7283703422006902 0.2742377674750678
13.140606370550813 1.0439936155045644 0.27432077061045135
14.140606370550813 1.194455732483669 0.27419632033221575
16.10060637054994 0.8253431557654658 0.2738986274899524
17.120606370554015 0.9941236034499971 0.2737335969240995
19.140606370550813 0.9665348327232774 0.2734418824111664
20.120606370554015 1.1845965172373163 0.273383832552069
21.120606370554015 0.9646604058074228 0.02439495798375069
