time U-B UB_err V-J VJ_err V-H VH_err V-K VK_err U-r Ur_err u-B uB_err u-V uV_err
-9.568449080674327 -1.0345334778843887 0.05374261564309732 "" "" "" "" "" "" "" "" "" "" "" ""
-9.564809080671694 -1.034951948966646 0.05374262747007849 "" "" "" "" "" "" "" "" "" "" "" ""
-9.526019080672995 -1.0117548317407623 0.06174275350540822 "" "" "" "" "" "" "" "" "" "" "" ""
-9.522379080670362 -1.0671733028230195 0.06074276533238939 "" "" "" "" "" "" "" "" "" "" "" ""
-7.490469080672483 -1.0158262071364321 0.06130756551506951 "" "" "" "" "" "" "" "" "" "" "" ""
-7.1778646126404055 "" "" "" "" 0.04301136896068707 0.2552204733718966 "" "" "" "" "" "" "" ""
-7.1778646126404055 "" "" 0.28880684604492113 0.1222204733718966 "" "" "" "" "" "" "" "" "" ""
-6.819393629448314 "" "" "" "" 0.2610353669249529 0.13319629572357095 "" "" "" "" "" "" "" ""
-6.487889080672176 -0.9870255057871457 0.048648576253926684 "" "" "" "" "" "" "" "" "" "" "" ""
-6.484249080676818 -0.9757129416534048 0.05064858374127343 "" "" "" "" "" "" "" "" "" "" "" ""
-6.471229080671037 -0.9935949237884955 0.050648610522937426 "" "" "" "" "" "" "" "" "" "" "" ""
-6.467579080672294 -0.99328150096179 0.05064861803085438 "" "" "" "" "" "" "" "" "" "" "" ""
-6.097864612638659 "" "" "" "" "" "" 0.56198640553586 0.16742777204189618 "" "" "" "" "" ""
-6.097864612638659 "" "" 0.12308428639826086 0.11842777204189618 "" "" "" "" "" "" "" "" "" ""
-6.097864612638659 "" "" "" "" 0.3712888093140266 0.15742777204189617 "" "" "" "" "" "" "" ""
-6.048814612637216 "" "" "" "" "" "" "" "" "" "" "" "" -0.0028482708803433954 0.10224751135792903
-5.84939362944715 "" "" "" "" 0.37784946195208013 0.17250225307737696 "" "" "" "" "" "" "" ""
-5.84939362944715 "" "" "" "" "" "" 1.1918991196044335 0.26950225307737696 "" "" "" "" "" ""
-5.478019080670492 -0.9297040296136486 0.04905827747326172 "" "" "" "" "" "" "" "" "" "" "" ""
-5.474389080671244 -0.926467889498869 0.04905828405171772 "" "" "" "" "" "" "" "" "" "" "" ""
-5.187864612635167 "" "" 0.1292144502044763 0.11864564029168148 "" "" "" "" "" "" "" "" "" ""
-5.187864612635167 "" "" "" "" 0.09341897312024311 0.2186456402916815 "" "" "" "" "" "" "" ""
-4.8093936294462765 "" "" "" "" "" "" 0.9141873072547704 0.2698544206774578 "" "" "" "" "" ""
-4.8093936294462765 "" "" 0.28427662596015263 0.1188544206774578 "" "" "" "" "" "" "" "" "" ""
-3.481459080670902 -0.8059161020310653 0.048146306809223355 "" "" "" "" "" "" "" "" "" "" "" ""
-3.4778090806721593 -0.8167962207710061 0.048146317180862014 "" "" "" "" "" "" "" "" "" "" "" ""
-3.2078646126392414 "" "" "" "" 0.4190180786743157 0.12192833539663786 "" "" "" "" "" "" "" ""
-3.2078646126392414 "" "" 0.11781355575854557 0.09192833539663786 "" "" "" "" "" "" "" "" "" ""
-3.2078646126392414 "" "" "" "" "" "" 0.6947156748961464 0.16992833539663788 "" "" "" "" "" ""
-3.1194246126397047 "" "" "" "" "" "" "" "" "" "" "" "" -0.35581887975646714 0.07137527107424571
-2.488779080675158 -0.7303355633204244 0.043823019374082034 "" "" "" "" "" "" "" "" "" "" "" ""
-2.4851490806759102 -0.733258069949737 0.04482303633395554 "" "" "" "" "" "" "" "" "" "" "" ""
1.951234650958213 "" "" "" "" "" "" "" "" "" "" -0.1226867819397352 0.0743406323289459 "" ""
2.9021353873613407 "" "" 0.1411709005016355 0.08708961804487242 "" "" "" "" "" "" "" "" "" ""
2.9021353873613407 "" "" "" "" "" "" 0.6240730196392351 0.19008961804487243 "" "" "" "" "" ""
2.9021353873613407 "" "" "" "" 0.26737542341740134 0.14908961804487242 "" "" "" "" "" "" "" ""
3.842135387363669 "" "" 0.21750704951104605 0.09697832077202745 "" "" "" "" "" "" "" "" "" ""
3.842135387363669 "" "" "" "" -0.1012884275731884 0.22397832077202745 "" "" "" "" "" "" "" ""
4.200606370548485 "" "" "" "" 0.2853087814287273 0.21812685346601918 "" "" "" "" "" "" "" ""
4.200606370548485 "" "" -0.2785522422135364 0.37112685346601915 "" "" "" "" "" "" "" "" "" ""
4.862135387360468 "" "" 0.11388475766527217 0.09580705612699275 "" "" "" "" "" "" "" "" "" ""
4.862135387360468 "" "" "" "" "" "" 0.48578687680287114 0.14680705612699274 "" "" "" "" "" ""
4.862135387360468 "" "" "" "" 0.14008928058104014 0.14480705612699274 "" "" "" "" "" "" "" ""
