time V-J VJ_err V-H VH_err V-K VK_err
18.7042556384 1.46065045795 0.110866968396 1.0 1.0 1.0 1.0
21.6682556384 1.74641915944 0.0868415376352 1.0 1.0 1.0 1.0
23.6712556384 1.87855037861 0.165822303012 1.0 1.0 1.0 1.0
25.6492556384 1.94876258071 0.100804720365 1.0 1.0 1.0 1.0
31.6532556384 2.09832301736 0.0987493156678 1.0 1.0 1.0 1.0
33.7462556384 2.25399008782 0.111725840584 1.0 1.0 1.0 1.0
18.7042556384 1.0 1.0 1.28250106451 0.213866968396 1.0 1.0
21.6682556384 1.0 1.0 1.879269766 0.131841537635 1.0 1.0
23.6712556384 1.0 1.0 1.98740098517 0.175822303012 1.0 1.0
25.6492556384 1.0 1.0 2.15661318727 0.152804720365 1.0 1.0
31.6532556384 1.0 1.0 2.29517362392 0.134749315668 1.0 1.0
33.7462556384 1.0 1.0 2.65084069438 0.121725840584 1.0 1.0
18.7042556384 1.0 1.0 1.0 1.0 2.50280815994 0.118866968396
33.7462556384 1.0 1.0 1.0 1.0 2.74714778981 0.330725840584
