time U-V UV_err r-J rJ_err r-H rH_err r-K rK_err U-B UB_err U-r Ur_err
30.079906951221346 "" "" "" "" "" "" 0.5858281553473372 0.08538194868279286 "" "" "" ""
30.373354601237224 "" "" "" "" 1.6458964817110995 0.0552522926810299 "" "" "" "" "" ""
30.373354601237224 "" "" "" "" "" "" 1.7614937748554331 0.0402522926810299 "" "" "" ""
30.373354601237224 "" "" 1.2481296675821436 0.1902522926810299 "" "" "" "" "" "" "" ""
31.079906951221346 "" "" 0.8164353731821243 0.06237192785692244 "" "" "" "" "" "" "" ""
31.079906951221346 "" "" "" "" 1.035835002596613 0.09337192785692244 "" "" "" "" "" ""
32.065821329902974 "" "" "" "" "" "" 1.250094831041001 0.18431371671934557 "" "" "" ""
32.065821329902974 "" "" "" "" 0.6209341382090809 0.11431371671934556 "" "" "" "" "" ""
32.065821329902974 "" "" 0.5586660504079368 0.12231371671934556 "" "" "" "" "" "" "" ""
33.05990695122455 "" "" "" "" "" "" 1.126288615555992 0.2604022951619326 "" "" "" ""
33.05990695122455 "" "" 0.8011814083563198 0.055402295161932597 "" "" "" "" "" "" "" ""
33.05990695122455 "" "" "" "" 0.9725810377708085 0.0854022951619326 "" "" "" "" "" ""
33.06782132990338 "" "" "" "" "" "" 1.3638584263859037 0.12734865798324024 "" "" "" ""
33.06782132990338 "" "" "" "" 0.6826977335539823 0.16034865798324024 "" "" "" "" "" ""
33.48265003783308 "" "" 1.6994738555377162 0.2197645944440449 "" "" "" "" "" "" "" ""
33.48265003783308 "" "" "" "" 2.178220577070861 0.2197645944440449 "" "" "" "" "" ""
34.065821329902974 "" "" 0.5612372252073701 0.06533789635190841 "" "" "" "" "" "" "" ""
34.065821329902974 "" "" "" "" 0.5465053130085125 0.10933789635190841 "" "" "" "" "" ""
34.08590695122257 "" "" "" "" "" "" 0.9921548791920085 0.2024292650028851 "" "" "" ""
34.08590695122257 "" "" "" "" 0.9084473014068254 0.1384292650028851 "" "" "" "" "" ""
34.54565003782773 "" "" "" "" "" "" 2.5081786008474576 0.21836336298579723 "" "" "" ""
34.54565003782773 "" "" 1.8569623963772643 0.06436336298579724 "" "" "" "" "" "" "" ""
34.54565003782773 "" "" "" "" 2.247709117910408 0.09236336298579724 "" "" "" "" "" ""
35.67765003783279 "" "" 1.8345522583668818 0.07135323016817516 "" "" "" "" "" "" "" ""
35.67765003783279 "" "" "" "" "" "" 2.610768462837075 0.21635323016817515 "" "" "" ""
35.67765003783279 "" "" "" "" 2.157298979900024 0.11035323016817516 "" "" "" "" "" ""
36.07890695122478 "" "" "" "" "" "" 0.7654742357930708 0.20247070091846026 "" "" "" ""
36.07890695122478 "" "" 0.711367028593396 0.07147070091846026 "" "" "" "" "" "" "" ""
36.07890695122478 "" "" "" "" 0.9707666580078856 0.10947070091846027 "" "" "" "" "" ""
36.60765003783308 "" "" 1.8379996056975416 0.07090976501256505 "" "" "" "" "" "" "" ""
36.60765003783308 "" "" "" "" 1.9217463272306863 0.11590976501256504 "" "" "" "" "" ""
36.60765003783308 "" "" "" "" "" "" 2.455215810167736 0.09190976501256504 "" "" "" ""
37.09690695122117 "" "" "" "" "" "" 0.6683190203219518 0.2344887828825978 "" "" "" ""
37.09690695122117 "" "" "" "" 0.973611442536768 0.09748878288259782 "" "" "" "" "" ""
37.09690695122117 "" "" 0.6352118131222795 0.08548878288259781 "" "" "" "" "" "" "" ""
37.30635460123449 "" "" "" "" "" "" 1.8121372287867106 0.08931911594818069 "" "" "" ""
37.30635460123449 "" "" "" "" 1.6905399356423785 0.031319115948180695 "" "" "" "" "" ""
37.30635460123449 "" "" 1.1837731215134226 0.031319115948180695 "" "" "" "" "" "" "" ""
38.04982132990699 "" "" "" "" 0.6729434976614173 0.2972905121695262 "" "" "" "" "" ""
38.04982132990699 "" "" "" "" "" "" 1.2651041904933382 0.17429051216952615 "" "" "" ""
38.094906951220764 "" "" "" "" "" "" 0.7382584037346753 0.2775046895020292 "" "" "" ""
38.094906951220764 "" "" 0.6571511965350012 0.07350468950202922 "" "" "" "" "" "" "" ""
38.094906951220764 "" "" "" "" 0.778550825949491 0.10050468950202922 "" "" "" "" "" ""
38.60665003782924 "" "" 1.9183694247172178 0.06589197357871121 "" "" "" "" "" "" "" ""
38.60665003782924 "" "" "" "" 2.3421161462503592 0.10689197357871122 "" "" "" "" "" ""
38.60665003782924 "" "" "" "" "" "" 2.1975856291874076 0.11989197357871122 "" "" "" ""
39.0569069512203 "" "" "" "" "" "" 1.0266697982275403 0.20250405844180291 "" "" "" ""
39.0569069512203 "" "" 0.47856259102786924 0.2775040584418029 "" "" "" "" "" "" "" ""
39.0569069512203 "" "" "" "" 0.8849622204423556 0.15350405844180293 "" "" "" "" "" ""
39.480650037832675 "" "" "" "" 2.2163437905059995 0.10795614020166616 "" "" "" "" "" ""
39.480650037832675 "" "" 1.9175970689728545 0.07095614020166616 "" "" "" "" "" "" "" ""
39.480650037832675 "" "" "" "" "" "" 2.4038132734430486 0.10095614020166616 "" "" "" ""
40.053821329907805 "" "" 0.5381573374694557 0.10629484672384873 "" "" "" "" "" "" "" ""
40.053821329907805 "" "" "" "" 0.7314254252705983 0.14229484672384873 "" "" "" "" "" ""
40.0569069512203 "" "" "" "" 1.0672098009110795 0.09849704776438299 "" "" "" "" "" ""
40.0569069512203 "" "" "" "" "" "" 0.9809173786962646 0.202497047764383 "" "" "" ""
40.0569069512203 "" "" 0.6968101714965911 0.066497047764383 "" "" "" "" "" "" "" ""
41.10190695122583 "" "" "" "" 1.0717685556272654 0.27750876305768735 "" "" "" "" "" ""
41.10190695122583 "" "" 0.770368926212776 0.20250876305768734 "" "" "" "" "" "" "" ""
54.060906951221114 "" "" "" "" 0.8989177723865217 0.0767652118170586 "" "" "" "" "" ""
