time r-J rJ_err r-H rH_err r-K rK_err
1.15182132991 0.266869236051 0.077688313757 1.0 1.0 1.0 1.0
4.1608213299 0.227914730341 0.268705774984 1.0 1.0 1.0 1.0
5.13882132991 0.321693611563 0.0536303825637 1.0 1.0 1.0 1.0
6.13282132991 0.268629845369 0.0685807885633 1.0 1.0 1.0 1.0
7.1378213299 0.368915945174 0.0526829306555 1.0 1.0 1.0 1.0
12.1348213299 0.464243912978 0.0462132805241 1.0 1.0 1.0 1.0
22.0948213299 0.606993660802 0.0513272162904 1.0 1.0 1.0 1.0
25.0898213299 0.7261829062 0.0523135504151 1.0 1.0 1.0 1.0
26.0798213299 0.620422473309 0.0512914626574 1.0 1.0 1.0 1.0
27.0788213299 0.697307017789 0.0712571135651 1.0 1.0 1.0 1.0
29.0728213299 0.554429636026 0.0481911559571 1.0 1.0 1.0 1.0
30.0688213299 0.704403326167 0.0732050009858 1.0 1.0 1.0 1.0
32.0658213299 0.558666050408 0.122313716719 1.0 1.0 1.0 1.0
34.0658213299 0.561237225207 0.0653378963519 1.0 1.0 1.0 1.0
40.0538213299 0.538157337469 0.106294846724 1.0 1.0 1.0 1.0
1.15182132991 1.0 1.0 0.275137323852 0.219688313757 1.0 1.0
4.1608213299 1.0 1.0 0.131182818142 0.236705774984 1.0 1.0
7.1378213299 1.0 1.0 0.00218403297473 0.193682930656 1.0 1.0
13.1388213299 1.0 1.0 0.486903458073 0.176218465027 1.0 1.0
15.1128213299 1.0 1.0 0.636152437414 0.14821840603 1.0 1.0
22.0948213299 1.0 1.0 0.783261748603 0.0983272162904 1.0 1.0
25.0898213299 1.0 1.0 0.825450994001 0.112313550415 1.0 1.0
27.0788213299 1.0 1.0 0.86057510559 0.0992571135651 1.0 1.0
29.0728213299 1.0 1.0 0.903697723827 0.269191155957 1.0 1.0
30.0688213299 1.0 1.0 0.787671413968 0.102205000986 1.0 1.0
32.0658213299 1.0 1.0 0.620934138209 0.114313716719 1.0 1.0
33.0678213299 1.0 1.0 0.682697733554 0.160348657983 1.0 1.0
34.0658213299 1.0 1.0 0.546505313009 0.109337896352 1.0 1.0
38.0498213299 1.0 1.0 0.672943497661 0.29729051217 1.0 1.0
40.0538213299 1.0 1.0 0.731425425271 0.142294846724 1.0 1.0
1.15182132991 1.0 1.0 1.0 1.0 2.47591101107 0.104688313757
4.1608213299 1.0 1.0 1.0 1.0 3.22295650536 0.0867057749836
5.13882132991 1.0 1.0 1.0 1.0 3.22173538658 0.0706303825637
22.0948213299 1.0 1.0 1.0 1.0 3.65103543582 0.11532721629
25.0898213299 1.0 1.0 1.0 1.0 3.38222468122 0.163313550415
26.0798213299 1.0 1.0 1.0 1.0 3.35946424833 0.149291462657
27.0788213299 1.0 1.0 1.0 1.0 3.45234879281 0.135257113565
29.0728213299 1.0 1.0 1.0 1.0 3.67447141104 0.113191155957
32.0658213299 1.0 1.0 1.0 1.0 3.80470782543 0.184313716719
33.0678213299 1.0 1.0 1.0 1.0 3.91847142077 0.127348657983
38.0498213299 1.0 1.0 1.0 1.0 3.81971718488 0.17429051217
