time U-B UB_err
-9.56844908067 -0.864147303627 0.0537426156431
-9.56480908067 -0.86456577471 0.0537426274701
-9.52601908067 -0.841368657484 0.0617427535054
-9.52237908067 -0.896787128566 0.0607427653324
-7.49046908067 -0.84544003288 0.0613075655151
-6.48788908067 -0.81663933153 0.0486485762539
-6.48424908068 -0.805326767397 0.0506485837413
-6.47122908067 -0.823208749532 0.0506486105229
-6.46757908067 -0.822895326705 0.0506486180309
-5.47801908067 -0.759317855357 0.0490582774733
-5.47438908067 -0.756081715242 0.0490582840517
-3.48145908067 -0.635529927774 0.0481463068092
-3.47780908067 -0.646410046514 0.0481463171809
-2.48877908068 -0.559949389064 0.0438230193741
-2.48514908068 -0.562871895693 0.044823036334
15.2875609193 -0.134064720949 0.0557778589111
