time V-J VJ_err V-H VH_err V-K VK_err
13.0566040412 0.0221909384494 0.0411777121919 1.0 1.0 1.0 1.0
16.0366040412 0.17384644316 0.027365895577 1.0 1.0 1.0 1.0
18.0366040412 0.174779806938 0.0352013391987 1.0 1.0 1.0 1.0
19.0266040412 0.249530732007 0.0445262363924 1.0 1.0 1.0 1.0
20.0366040412 0.336145145443 0.195865065938 1.0 1.0 1.0 1.0
22.0266040412 0.30336013423 0.0525372265375 1.0 1.0 1.0 1.0
13.0566040412 1.0 1.0 -0.00373367882165 0.0651777121919 1.0 1.0
16.0366040412 1.0 1.0 0.195921825889 0.041365895577 1.0 1.0
18.0366040412 1.0 1.0 0.340855189667 0.0752013391987 1.0 1.0
19.0266040412 1.0 1.0 0.399606114736 0.0665262363924 1.0 1.0
20.0366040412 1.0 1.0 0.349220528172 0.0638650659382 1.0 1.0
22.0266040412 1.0 1.0 0.405435516959 0.0665372265375 1.0 1.0
13.0566040412 1.0 1.0 1.0 1.0 0.77088702845 0.0701777121919
16.0366040412 1.0 1.0 1.0 1.0 0.87154253316 0.050365895577
18.0366040412 1.0 1.0 1.0 1.0 1.09547589694 0.195201339199
19.0266040412 1.0 1.0 1.0 1.0 1.14622682201 0.0545262363924
20.0366040412 1.0 1.0 1.0 1.0 1.19284123544 0.0998650659382
22.0266040412 1.0 1.0 1.0 1.0 1.22405622423 0.0675372265375
