lc_2001gd	52260.14
lc_2002ap	52300.11
lc_2004ao	53070.52
lc_2004aw	53089.78
lc_2004gk	53318.53
lc_2004gq	53357.95
lc_2004gt	53365.47
lc_2005az	53477.27
lc_2005bf	53508.00
lc_2005hg	53667.09
lc_2005kl	53699.63
lc_2005mf	53731.73
lc_2005nb	53734.68
lc_2006aj	53792.94
lc_2006F	53749.72
lc_2006fo	53991.91
lc_2006jc	54020.40
lc_2006ld	54028.00
lc_2006T	53765.06
lc_2007C	54114.11
lc_2007ce	54206.76
lc_2007D	54119.68
lc_2007gr	54337.35
lc_2007I	54116.97
lc_2007uy	54464.48
lc_2008aq	54538.04
lc_2008D	54474.28
lc_2009er	54966.59
lc_2009iz	55107.21
lc_2009jf	55122.00
