time U-B UB_err
9.6068301832 -0.530884324342 0.0697917675353
10.5434301832 -0.483696652251 0.0722795591141
13.5667701832 -0.458952077263 0.073857928468
15.5977701832 -0.468975216329 0.0721400032884
16.6238601832 -0.298547772279 0.0866827895462
17.5811801832 -0.313009012953 0.0972383178946
18.5844001832 -0.419017454526 0.0927162160705
19.5570501832 -0.280182642905 0.116774528242
23.5516501832 -0.0151981591891 0.264374971416
28.5534101832 0.226515048044 0.197848511188
32.5256601832 0.378345160123 0.165505473534
36.4374701832 0.906533222057 0.233254219714
39.6407801832 0.754222947585 0.320786136895
