time mag magerr
3.4987314233367215 1.0837388115176692 0.06160982911936204
5.528731423335557 1.2675321685287737 0.2326008819253488
10.418731423334975 1.5061913405039318 0.04683827168116958
11.368731423332065 1.3432651042857393 0.06788947434536524
14.348731423335266 1.6824307963550102 0.04182514219865416
16.398731423338177 1.7143627617825066 0.05275698468249253
18.33873142333323 1.7515087953788393 0.08572890099536118
20.348731423335266 1.8382502205417768 0.05785939835606266
32.288731423337595 2.483412263042302 0.13303479521680917
33.288731423337595 2.553455138471038 0.055536727028736764
