time V-J VJ_err V-H VH_err V-K VK_err
18.9437488925 1.0 1.0 1.89773349351 0.0336261098323 1.0 1.0
19.9337488925 1.0 1.0 1.9956639544 0.0426259590796 1.0 1.0
20.8937488925 1.0 1.0 1.91836469308 0.0446258290367 1.0 1.0
21.8937488925 1.0 1.0 1.9887240426 0.0406257655167 1.0 1.0
23.8637488925 1.0 1.0 1.97815975566 0.0596256593317 1.0 1.0
24.8637488925 1.0 1.0 1.9712218405 0.0306256187903 1.0 1.0
25.8937488925 1.0 1.0 1.92891320749 0.0286252438085 1.0 1.0
27.8437488925 1.0 1.0 2.07707981238 0.0346244135231 1.0 1.0
38.8637488925 1.0 1.0 1.9699167693 0.0646215480994 1.0 1.0
41.8537488925 1.0 1.0 1.97873913423 0.0556212135015 1.0 1.0
42.8537488925 1.0 1.0 2.11630257565 0.039621115181 1.0 1.0
45.8537488925 1.0 1.0 2.04081303418 0.0536208121066 1.0 1.0
46.8537488925 1.0 1.0 2.12070178595 0.0366206755242 1.0 1.0
52.8237488925 1.0 1.0 1.91651070524 0.196619304311 1.0 1.0
53.8437488925 1.0 1.0 2.11603249213 0.060618887192 1.0 1.0
54.8337488925 1.0 1.0 2.05183385591 0.0406184132281 1.0 1.0
56.8337488925 1.0 1.0 2.03366370531 0.0286171934122 1.0 1.0
64.8237488925 1.0 1.0 1.87587841803 0.067607493311 1.0 1.0
1.98374889254 1.0 1.0 1.0 1.0 1.96726934456 0.189640733164
4.02374889254 1.0 1.0 1.0 1.0 1.84849369168 0.0336367096286
6.02374889254 1.0 1.0 1.0 1.0 2.00882496387 0.05763365774
6.89374889254 1.0 1.0 1.0 1.0 1.91333848257 0.038632711689
8.95374889253 1.0 1.0 1.0 1.0 1.96438940729 0.0296303252352
10.9537488925 1.0 1.0 1.0 1.0 1.93055434456 0.0496286385712
16.9437488925 1.0 1.0 1.0 1.0 2.05211071987 0.0316265405202
18.9437488925 1.0 1.0 1.0 1.0 2.05354281265 0.0316261098323
19.9337488925 1.0 1.0 1.0 1.0 2.11047327354 0.26462595908
20.8937488925 1.0 1.0 1.0 1.0 2.15917401222 0.189625829037
21.8937488925 1.0 1.0 1.0 1.0 2.06953336174 0.0516257655167
22.8937488925 1.0 1.0 1.0 1.0 2.21782157424 0.0636256886063
23.8637488925 1.0 1.0 1.0 1.0 2.1969690748 0.0806256593317
25.8937488925 1.0 1.0 1.0 1.0 2.07772252664 0.189625243809
27.8437488925 1.0 1.0 1.0 1.0 1.91288913152 0.0686244135231
38.8637488925 1.0 1.0 1.0 1.0 2.14272608844 0.0336215480994
41.8537488925 1.0 1.0 1.0 1.0 2.18254845337 0.0576212135015
42.8537488925 1.0 1.0 1.0 1.0 2.2411118948 0.070621115181
45.8537488925 1.0 1.0 1.0 1.0 2.17262235332 0.0446208121066
46.8537488925 1.0 1.0 1.0 1.0 2.33551110509 0.0306206755242
52.8237488925 1.0 1.0 1.0 1.0 2.22032002438 0.0246193043107
53.8437488925 1.0 1.0 1.0 1.0 2.25184181127 0.033618887192
56.8337488925 1.0 1.0 1.0 1.0 2.18647302445 0.0336171934122
64.8237488925 1.0 1.0 1.0 1.0 2.01468773717 0.264607493311
