time U-B UB_err r-J rJ_err r-H rH_err r-K rK_err
-4.37362180956552 -0.3018462428175681 0.11022318460103502 0.809424492339804 0.03890729331358732 0.6115409095783846 0.167907287476278 1.273020077983773 0.1419072875258952
-3.560511123141623 "" "" "" "" 0.6035238895117304 0.4011400409571262 "" ""
-2.690337057443685 -0.3413746901147372 0.09180016749506087 "" "" "" "" "" ""
-2.410611809566035 -0.06467700004435173 0.08432765279191162 0.883742549125905 0.047846554489764354 0.8078589663644855 0.09984654848630885 1.4553381347698746 0.11584654853803103
-1.4136218095663935 "" "" 0.9131616270360676 0.19710256102794438 1.0292780442746483 0.0831025559805259 "" ""
-0.4106218095694203 "" "" 0.6876541303754382 0.045431646677713246 1.0707705476140184 0.09143164284801758 1.5332497160194087 0.16743164287256504
0.4985823660317692 "" "" 1.0257372558112159 0.10601562658400313 1.331507354392605 0.0910156165865638 1.39319739592613 0.11801562654572975
0.5863781904336065 "" "" 0.8642126365471969 0.036777432271684715 1.1023290537857775 0.06977742971104857 1.4748082221911645 0.10277742971972074
0.6615623660327401 0.7137740937291733 0.1858708237145664 "" "" "" "" "" ""
1.4875823660331662 "" "" 1.0184873826796632 0.06420241252943222 1.2212574812610508 0.08920240254292638 1.5579475227945778 0.12420241249415732
2.6982023660311825 0.8264328824445274 0.23469452987289402 "" "" "" "" "" ""
3.428852942553931 0.30067445713914487 0.15366388923568153 "" "" "" "" "" ""
3.5225823660293827 "" "" "" "" 1.3075248314556933 0.08396006599166966 "" ""
3.5851281904324424 0.4609976788462582 0.1469150079113105 "" "" "" "" "" ""
3.6701923660293687 0.7377357847245053 0.31319644870877084 "" "" "" "" "" ""
4.429082942551759 0.21181477938873153 0.14082655896859556 "" "" "" "" "" ""
4.586158190431888 0.40038613488643904 0.08908041571778619 "" "" "" "" "" ""
5.483582366032351 "" "" 1.1609525170879962 0.06843577816085541 1.403722615669383 0.11343577084078374 1.4254126572029087 0.37043577813253675
5.611378190427786 0.2909542090140107 0.09318334661821498 0.9502061222448464 0.04217369128967373 1.262322539483425 0.061173693854278254 1.141801707888817 0.1041736937988648
5.740812366027967 0.968522244636875 0.39592836566954276 "" "" "" "" "" ""
6.477582366031129 "" "" 1.2387470262274973 0.0802569291168494 1.2785171248088847 0.20425692246216193 1.9222071663424103 0.17725692909033017
7.42096460123139 0.6421175128339298 0.034925615007021724 1.0644719423833762 0.04496802946329723 1.282238756512567 0.04396802946357434 "" ""
7.470582366033341 "" "" 1.3569556331918455 0.08863729482429344 1.4947257317732319 0.08363728866717418 1.6954157733067596 0.139637294799142
8.421354601232451 "" "" 1.136141596725196 0.028956615016703977 1.3739084108543864 0.18995661501700328 1.3915057039987657 0.025956615017578833
8.467582366029092 "" "" 1.3001712066917726 0.05390941932198754 1.3839413052731604 0.11290941361112287 1.9706313468066874 0.09190941929805468
9.633650037969346 "" "" 1.3701157553194299 0.06460134903668632 1.465862476854212 0.07260134903535584 1.785331959791584 0.08260134903875935
9.64458236603241 "" "" 1.3257990080502224 0.05347154921281082 1.6275691066316103 0.06047154440061395 1.9242591481651345 0.20847154919010186
11.256363726126438 0.8912988073457688 0.34539003218432807 "" "" "" "" "" ""
11.440174601229955 0.8325751498587364 0.03419244645965723 "" "" "" "" "" ""
11.767892929172376 "" "" 0.8804857033589927 0.10643142446202263 0.6362746838784137 0.20943144777771155 1.8435092217827722 0.11443111016077803
12.268503726125346 1.0232555253503248 0.4188523205446853 "" "" "" "" "" ""
12.374734601231467 0.8740343354239934 0.03526561074465216 1.2084475450556378 0.03907848585205629 1.5002143591848285 0.040078485852181524 1.6368116523292076 0.04207848585231386
13.411354601230414 0.8549124185881629 0.035338582887782896 1.2417302935381065 0.2650471999627584 1.620497107667297 0.03404719996293247 "" ""
14.409864601228037 0.8010519903499587 0.03741195556317165 1.2403734256926902 0.029005534851568746 1.5311402398218796 0.030005534851809443 "" ""
14.731892929172318 "" "" 1.1196892151711604 0.08347899434698652 1.1864781956905812 0.12847901513656812 "" ""
15.383654601231683 0.8720659562342812 0.03548924195461654 1.2234556512176396 0.02697787565804476 1.5642224653468297 0.18997787565833074 1.60881975849121 0.029977875658855666
16.401694601227064 0.8243832930942032 0.036569884907539076 1.2422556780973368 0.026968322080179064 1.567022492226527 0.030968322080481045 1.7496197853709055 0.08796832208104681
16.734892929176567 "" "" 1.2251016007290974 0.16242123993842605 1.2678905812485137 0.17242126085349838 "" ""
17.402484601225297 0.8136581043818074 0.03765462455456379 1.3205491933883489 0.2649777225929686 1.6553160075175388 0.041977722593257244 1.7489133006619186 0.03397772259378927
18.44809460122633 0.9338049341539341 0.03973203541068724 "" "" "" "" "" ""
18.712892929172085 "" "" 1.261635493126587 0.09844641934109681 1.403424473646007 0.15044643778472744 "" ""
19.564650037966203 "" "" 1.7170027544831767 0.07179467133136272 1.9457494760179614 0.14879467132999136 2.3072189589553354 0.2177946713352476
20.564650037966203 "" "" 1.675913535648744 0.07130395431987865 2.015660257183526 0.21730395431851263 2.1821297401208994 0.09730395432339584
21.598650037965854 "" "" 1.618644545548166 0.29153513816223864 1.834391267082949 0.10953513816087973 2.4428607500203228 0.08853513816516607
22.632650037965504 "" "" 1.6884659986178945 0.06685423175889069 2.040212720152677 0.21585423175754243 2.207682203090048 0.0988542317612941
23.4073546012296 "" "" 1.279883308403232 0.035089249619435034 1.7446501225324227 0.027089249619550494 1.6562474156768021 0.03808924961965263
24.625650037967716 "" "" 1.5828860064409631 0.06523708140113535 1.898632727975744 0.08923708139978355 2.351102210913119 0.0812370814038301
