time V-r Vr_err SN
-3.075823781080544 -0.018732196209476713 0.06335428958239617 SN_2010bq
-2.7194225945713697 0.06533162018508817 0.03594586049212832 SN_2006ca
-2.1019237810760387 -0.0346189636518229 0.09858090907196175 SN_2010bq
-0.5934361154431826 0.012965731937918563 0.03675288442820633 SN_2008aj
-0.15198378107743338 -0.11675662376371995 0.05467967575653863 SN_2010bq
0.3140638845579815 -0.01585484196575409 0.03845802391272744 SN_2008aj
0.8235498567082686 0.12290009349724959 0.03564702747456326 SN_2008bj
1.2632174054306233 0.027726563546970756 0.038279110090907995 SN_2006ca
1.839729856706981 0.11834203680884689 0.03772098507885234 SN_2008bj
2.65063985670713 0.13104123062728865 0.03745035001858209 SN_2008bj
3.621586425055284 0.03803961941963606 0.0374182434993036 SN_2009ay
3.981219856708776 0.1348650772342693 0.04209218798715473 SN_2008bj
4.614656425059366 0.048616681090558264 0.03987608408741443 SN_2009ay
4.769599856706918 0.1492793299581435 0.04032323269913406 SN_2008bj
4.793666218924045 0.10248609136063927 0.07946015759776734 SN_2010bq
5.41368388455885 0.034824757754209075 0.04275579461926947 SN_2008aj
5.616436425058055 0.04790057685482295 0.04278857523334982 SN_2009ay
5.787666218922823 0.12449371628246589 0.07105268035872939 SN_2010bq
5.801639856705151 0.1610310968911178 0.03859140489765099 SN_2008bj
6.364693884555891 0.041886092565538165 0.06579100887868902 SN_2008aj
6.761529856703419 0.16525825150195592 0.03881763620682509 SN_2008bj
7.7760998567027855 0.1697007645442624 0.03808113049727756 SN_2008bj
9.408263884557527 0.14330456758589788 0.04280410523086241 SN_2008aj
9.595910183197702 0.1061984353125589 0.04458319041811247 SN_2008bn
10.532520183201996 0.11185258394546915 0.045373437997912366 SN_2008bn
10.607756425059051 0.1346210225061394 0.04200738891382004 SN_2009ay
10.78112621892069 0.13654757164374268 0.08524660603569326 SN_2010bq
11.435943884556764 0.11789035874293047 0.044918089395859714 SN_2008aj
12.571496425058285 0.11989532001812107 0.0417734715229655 SN_2009ay
12.652789856707386 0.1970601212077759 0.04000301320610204 SN_2008bj
12.873936218922609 0.1350985416511147 0.07449309564623266 SN_2010bq
13.555880183201225 0.08732834460285455 0.045414656132403065 SN_2008bn
13.76184985670261 0.1908409710634472 0.03948209621015518 SN_2008bj
14.421853884559823 0.09783609334208959 0.047952468548186446 SN_2008aj
14.689969856706739 0.20045278684405607 0.04064658210981863 SN_2008bj
14.739896218925423 0.0648350037228628 0.07678049892168434 SN_2010bq
15.274127405427862 0.19046709876560583 0.04087540316313741 SN_2006ca
15.391233884562098 0.1188426155158035 0.05090373310864113 SN_2008aj
15.586900183203397 0.07372609451731416 0.04539844297512473 SN_2008bn
15.752566218921856 0.16101550411125523 0.07967747969005898 SN_2010bq
16.38144070652197 0.12179485729361596 0.033480948342115 SN_2008ip
16.602539856707153 0.17795963644844467 0.04532455097349728 SN_2008bj
16.612990183202783 0.059559940749240876 0.04639002975295662 SN_2008bn
17.570300183200743 0.0710780839794034 0.04937167631279225 SN_2008bn
17.70876985670475 0.2130280457417327 0.04260652712842415 SN_2008bj
17.90604621892271 0.35950138161640804 0.08875915782432571 SN_2010bq
18.575340183197113 0.07704145842180887 0.0486772410814623 SN_2008bn
18.676659856704646 0.18075216814747738 0.04470817466350294 SN_2008bj
18.8869662189245 0.24734898493539284 0.07894308079269394 SN_2010bq
19.32589070652466 0.1725412648756518 0.03403776081951369 SN_2008ip
19.546180183198885 0.08387431259848066 0.053290295628565826 SN_2008bn
20.679879856703337 0.21544826122074232 0.042534295901998295 SN_2008bj
20.756346218920953 0.27715531022956025 0.08337251510780627 SN_2010bq
21.31258740543126 0.27168220892070893 0.03883056352940516 SN_2006ca
21.32527070652577 0.20004416333857555 0.03821657489436396 SN_2008ip
21.49897018320189 0.02455972750680014 0.04869764232742183 SN_2008bn
21.782806218921905 0.2942082493112043 0.07989462316960885 SN_2010bq
22.38571070652688 0.2047143486348063 0.037702598769487325 SN_2008ip
22.7109398567045 0.277313914718163 0.05479807566687053 SN_2008bj
23.375670706525852 0.24241378061891872 0.04194568148790605 SN_2008ip
23.53896018319938 0.09560300650226816 0.0655161875638621 SN_2008bn
23.79562985670782 0.23467418648332047 0.0523266125948266 SN_2008bj
24.327750706528604 0.2242028105207482 0.05368767347917289 SN_2008ip
24.742559856706066 0.26672675834069104 0.04095643653298041 SN_2008bj
25.814846218920138 0.3780051341606598 0.09119222779014592 SN_2010bq
26.261657405426376 0.27906111045965476 0.03764989275845497 SN_2006ca
26.563780183198105 0.05933367701150028 0.048258891090756345 SN_2008bn
26.61788621891901 0.2874630848713377 0.09569724446715039 SN_2010bq
27.169010706522386 0.24432078505622534 0.04059054863999899 SN_2008ip
27.69384985670331 0.20443639874842665 0.040165782510319534 SN_2008bj
27.743336218925833 0.37148647664575346 0.09828405317601518 SN_2010bq
28.54434018320171 0.08363386131163475 0.04788914803114339 SN_2008bn
29.29248740542971 0.27038059771476286 0.03765684550819802 SN_2006ca
29.716546218922304 0.35935261852203165 0.10557295653770699 SN_2010bq
30.635029856704932 0.2261849067365765 0.040215404126687435 SN_2008bj
32.51657018320111 0.11141612669650991 0.04515118834879709 SN_2008bn
32.75923621892434 0.4751353806837532 0.12420643842417066 SN_2010bq
34.27518740543019 0.26663435177389916 0.06395422402673696 SN_2006ca
35.33521070652205 0.2547866481004285 0.04165298980241737 SN_2008ip
35.563486425060546 0.3386763229003843 0.048496149503135556 SN_2009ay
35.69792018320004 0.13463927211851834 0.04962346912021535 SN_2008bn
